id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
89,correlation_ids_0,0.173828125,,,0.53,0.54,0.54,0.54,0.52,0.52,0.55,0.54,0.54,0.53,0.54,0.53,0.54,0.53,0.53,0.51,0.56,0.53,0.54,0.54,0.53,0.54,0.54,0.52,0.54,13.37,0.53,false
90,correlation_ids_0,0.17578125,,,0.50,0.51,0.51,0.51,0.51,0.49,0.50,0.50,0.51,0.52,0.50,0.51,0.50,0.50,0.51,0.49,0.53,0.51,0.51,0.53,0.51,0.52,0.50,0.49,0.51,12.68,0.51,false
91,correlation_ids_0,0.177734375,,,0.47,0.48,0.48,0.47,0.49,0.47,0.47,0.47,0.47,0.48,0.50,0.48,0.48,0.48,0.49,0.48,0.49,0.47,0.48,0.49,0.47,0.47,0.47,0.49,0.47,11.96,0.48,false
92,correlation_ids_0,0.1796875,,,0.50,0.51,0.51,0.50,0.51,0.50,0.52,0.51,0.49,0.50,0.52,0.51,0.51,0.52,0.53,0.50,0.50,0.50,0.51,0.52,0.51,0.52,0.51,0.51,0.51,12.73,0.51,false
93,correlation_ids_0,0.181640625,,,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.45,0.47,0.45,0.44,0.46,0.44,0.46,0.48,0.44,0.47,0.46,0.46,0.45,0.45,0.46,0.44,0.44,0.46,11.33,0.45,false
94,correlation_ids_0,0.18359375,,,0.43,0.43,0.42,0.42,0.43,0.43,0.44,0.43,0.44,0.44,0.43,0.44,0.43,0.44,0.44,0.44,0.44,0.44,0.44,0.43,0.44,0.43,0.44,0.45,0.42,10.86,0.43,false
95,correlation_ids_0,0.185546875,,,0.47,0.48,0.48,0.48,0.49,0.47,0.49,0.48,0.47,0.49,0.49,0.49,0.48,0.49,0.49,0.48,0.50,0.48,0.49,0.49,0.48,0.48,0.46,0.48,0.47,12.05,0.48,false
96,correlation_ids_0,0.1875,,,0.44,0.44,0.44,0.43,0.45,0.43,0.44,0.43,0.44,0.45,0.45,0.44,0.43,0.44,0.44,0.43,0.45,0.45,0.46,0.43,0.45,0.44,0.45,0.44,0.45,11.04,0.44,false
97,correlation_ids_0,0.189453125,,,0.43,0.43,0.42,0.43,0.41,0.42,0.42,0.42,0.43,0.42,0.43,0.42,0.42,0.42,0.43,0.42,0.42,0.42,0.42,0.41,0.44,0.43,0.43,0.41,0.42,10.57,0.42,false
98,correlation_ids_0,0.19140625,,,0.45,0.44,0.43,0.44,0.44,0.44,0.45,0.43,0.44,0.43,0.45,0.45,0.45,0.44,0.45,0.44,0.46,0.43,0.46,0.46,0.46,0.45,0.44,0.45,0.45,11.13,0.45,false
