month_day_hour_min;n_p;i_uiip;p_uiip;truth
538;0.1;192.06;20.1;0
539;0.1;184.45;20.35;0
540;0.1;177.23;20.21;0
541;0.1;168.5;19.97;0
542;0.1;180.86;20.05;0
543;0.1;167.59;20.22;0
544;0.1;163.03;20.26;0
545;0.1;173.1;20.2;0
546;0.1;156.38;20.14;0
547;0.1;176.35;20.08;0
548;0.1;170.92;20.05;0
549;0.1;160.78;20.24;0
550;0.1;172.63;19.97;0
551;0.1;166.24;20.16;0
552;0.1;169.83;20.18;0
553;0.1;180.05;20.03;0
554;0.1;179.63;20.14;0
555;0.1;188.37;19.85;0
556;0.1;191.63;20.18;0
557;0.1;177.41;20.12;0
558;0.1;173.84;20.19;0
559;0.1;181.14;20.14;0
560;0.1;207.47;20.16;0
561;0.1;178.49;20.16;0
562;0.1;162.7;19.96;0
563;0.1;164.09;20.1;0
564;0.1;185.28;20.12;0
565;0.1;179.95;20.03;0
566;0.1;171.83;20.18;0
567;0.1;171.9;20.03;0
568;0.1;174.08;20.18;0
569;0.1;167.66;20.22;0
570;0.1;169.64;20.24;0
571;0.1;171.96;20.05;0
572;0.1;164.21;16.48;0
573;0.1;157.48;16.61;0
574;0.1;154.7;16.54;0
575;0.1;159.04;16.48;0
576;0.1;186.13;16.27;0
577;0.1;223.25;16.47;0
578;0.1;205.7;16.73;0
579;0.1;186.71;16.58;0
580;0.1;180.67;16.54;0
581;0.1;203.18;16.46;0
582;0.1;193.78;16.48;0
583;0.1;200.27;16.76;0
584;0.1;210.7;16.48;0
585;0.1;190.62;16.49;0
586;0.1;183.2;16.44;0
587;0.1;176.49;16.59;0
588;0.1;163.97;16.54;0
589;0.1;163.74;16.62;0
590;0.1;147.2;16.59;0
591;0.1;148.09;16.51;0
592;0.1;161.94;16.51;0
593;0.1;169.05;16.56;0
594;0.1;170.33;16.56;0
595;0.1;174.3;16.46;0
596;0.1;187.56;16.48;0
597;0.1;172.01;16.52;0
598;0.1;171.12;17.01;0
599;0.1;178.39;19.59;0
600;0.1;181.65;19.53;0
601;0.1;204.39;20.11;0
602;0.1;181.22;20.23;0
603;0.1;178.65;20.1;0
604;0.1;208.56;20.56;0
605;0.1;213.3;20.73;0
606;0.1;228.17;20.59;0
607;0.1;245.8;20.22;0
608;0.1;241.09;21.32;0
609;0.1;256.19;21.7;0
610;0.1;252.16;21.63;0
611;0.1;300.05;21.65;0
612;0.1;300.29;21.66;0
613;0.1;297.73;21.61;0
614;0.1;267.5;21.76;0
615;0.1;269.75;21.69;0
616;0.1;268.82;21.68;0
617;0.1;273.12;21.67;0
618;0.1;265.21;21.75;0
619;0.1;279.99;22.03;0
620;0.1;288.26;22.16;0
621;0.1;291.7;22.17;0
622;0.1;256.37;22.24;0
623;0.1;233.14;21.54;0
624;0.1;230.72;21.18;0
625;0.1;252.04;21.14;0
626;0.1;230.95;21.1;0
627;0.1;225.02;21.16;0
628;0.1;212.77;20.9;0
629;0.1;223.59;21.03;0
630;0.1;210.4;21.44;0
631;0.1;223.26;20.74;0
632;0.1;212.43;20.65;0
633;0.1;221.09;20.48;0
634;0.1;198.32;20.76;0
635;0.1;191.93;20.84;0
636;0.1;185.27;20.68;0
637;0.1;206.4;20.33;0
638;0.1;214.01;20.66;0
639;0.1;168.03;20.71;0
640;0.1;176.74;20.68;0
641;0.1;208.64;20.65;0
642;0.1;175.06;20.67;0
643;0.1;184.25;20.73;0
644;0.1;192.55;20.59;0
645;0.1;188.74;20.64;0
646;0.1;203.29;20.73;0
647;0.1;177.35;20.73;0
648;0.1;181.62;20.69;0
649;0.1;189.02;20.76;0
650;0.1;188.09;20.46;0
651;0.1;190.68;20.78;0
652;0.1;186.17;20.46;0
653;0.1;191.01;20.66;0
654;0.1;188.82;20.73;0
655;0.1;205.33;20.52;0
656;0.1;185.11;20.54;0
657;0.1;181.63;20.85;0
658;0.1;215.92;20.35;0
659;0.1;193.15;20.82;0
660;0.1;210.1;20.59;0
661;0.1;212.44;20.6;0
662;0.1;191.07;20.85;0
663;0.1;181.39;20.71;0
664;0.1;185.37;20.84;0
665;0.1;167.04;20.66;0
666;0.1;175.49;20.51;0
667;0.1;167.35;19.93;0
668;0.1;158.74;16.56;0
669;0.1;153.38;16.58;0
670;0.1;157.47;16.54;0
671;0.1;150.38;16.57;0
672;0.1;155.72;16.46;0
673;0.1;135.89;16.54;0
674;0.1;146.74;16.59;0
675;0.1;132.82;16.52;0
676;0.1;133.92;16.56;0
677;0.1;123.94;16.71;0
678;0.1;131.97;16.58;0
679;0.1;126.46;16.55;0
680;0.1;120.99;16.6;0
681;0.1;134.14;16.59;0
682;0.1;134.51;16.43;0
683;0.1;123.66;16.9;0
684;0.1;129.16;16.64;0
685;0.1;118.73;17.03;0
686;0.1;122.21;17.24;0
687;0.1;116.59;17.09;0
688;0.1;138.83;16.71;0
689;0.1;164.54;16.61;0
690;0.1;144.75;16.56;0
691;0.1;126.53;16.7;0
692;0.1;127.63;16.6;0
693;0.1;131.7;16.54;0
694;0.1;136.7;16.98;0
695;0.1;141.39;19.44;0
696;0.1;144.5;19.68;0
697;0.1;163.83;20.81;0
698;0.1;139.21;20.92;0
699;0.1;161.46;20.62;0
700;0.1;157.63;20.73;0
701;0.1;205.86;20.5;0
702;0.1;234.17;20.59;0
703;0.1;242.27;21.65;0
704;0.1;261.55;21.67;0
705;0.1;269.32;21.7;0
706;0.1;288.11;22.13;0
707;0.1;286.24;22.18;0
708;0.1;280.76;21.67;0
709;0.1;285.15;21.66;0
710;0.1;310.97;21.78;0
711;0.1;321.93;21.39;0
712;0.1;320.01;22.61;0
713;0.1;307.28;22.76;0
714;0.1;304.1;22.24;0
715;0.1;289.28;22.16;0
716;0.1;279.65;22.19;0
717;0.1;267.98;22.03;0
718;0.1;266.31;21.7;0
719;0.1;250.08;22.14;0
720;0.1;275.26;22.17;0
721;0.1;250.29;22.26;0
722;0.1;242.24;21.89;0
723;0.1;214.83;21.8;0
724;0.1;225.97;21.69;0
725;0.1;229.57;21.69;0
726;0.1;214.35;21.62;0
727;0.1;209.09;21.27;0
728;0.1;238.21;21.19;0
729;0.1;219.21;20.68;0
730;0.1;217.04;20.59;0
731;0.1;208.47;20.51;0
732;0.1;202.52;20.13;0
733;0.1;195.85;20.11;0
734;0.1;206.83;20.2;0
735;0.1;189.05;20.27;0
736;0.1;205.13;20.06;0
737;0.1;203.79;20.18;0
738;0.1;192.52;20.9;0
739;0.1;204.03;21.16;0
740;0.1;196.01;20.54;0
741;0.1;203.88;20.15;0
742;0.1;194.77;20.62;0
743;0.1;188.78;20.78;0
744;0.1;175.14;20.71;0
745;0.1;187.29;20.86;0
746;0.1;191.48;20.67;0
747;0.1;199.06;20.73;0
748;0.1;194.59;20.54;0
749;0.1;192.07;20.71;0
750;0.1;193.43;20.52;0
751;0.1;173.23;20.72;0
752;0.1;179.52;20.62;0
753;0.1;189.87;20.79;0
754;0.1;188.93;20.63;0
755;0.1;185.77;20.84;0
756;0.1;184.8;20.33;0
757;0.1;178.89;20.07;0
758;0.1;190.76;20.35;0
759;0.1;192.34;20.18;0
760;0.1;180.6;20.13;0
761;0.1;185.57;20.28;0
762;0.1;178.92;20.2;0
763;0.1;174.4;20.23;0
764;0.1;142.47;17.11;0
765;0.1;146.19;16.45;0
766;0.1;171.96;16.45;0
767;0.1;176.71;16.66;0
768;0.1;153.68;16.61;0
769;0.1;145.83;16.63;0
770;0.1;143.88;16.6;0
771;0.1;127.29;16.47;0
772;0.1;127.01;16.64;0
773;0.1;125;16.67;0
774;0.1;125.1;16.59;0
775;0.1;133.01;16.58;0
776;0.1;127.27;16.59;0
777;0.1;120.75;16.88;0
778;0.1;118.14;17.01;0
779;0.1;116.78;17.18;0
780;0.1;135.09;16.64;0
781;0.1;120.05;16.78;0
782;0.1;125.43;16.59;0
783;0.1;128.42;16.8;0
784;0.1;122.68;16.69;0
785;0.1;126.5;16.78;0
786;0.1;109.07;17.74;0
787;0.1;108.05;17.9;0
788;0.1;115.31;17.16;0
789;0.1;121.64;16.94;0
790;0.1;123.56;16.81;0
791;0.1;127.57;18.79;0
792;0.1;132.93;20.13;0
793;0.1;141.22;20.62;0
794;0.1;119.45;20.55;0
795;0.1;133.56;20.12;0
796;0.1;124.04;20.22;0
797;0.1;137.26;20.16;0
798;0.1;169.46;20.33;0
799;0.1;167.32;20.77;0
800;0.1;206.33;20.68;0
801;0.1;225.58;20.55;0
802;0.1;241.42;21.17;0
803;0.1;239.94;21.12;0
804;0.1;265.58;21.1;0
805;0.1;256.54;21.58;0
806;0.1;261.46;21.59;0
807;0.1;256.78;21.39;0
808;0.1;252.84;21.18;0
809;0.1;254.54;21.53;0
810;0.1;249.67;21.13;0
811;0.1;269.77;21.41;0
812;0.1;274.22;21.42;0
