month,day,hour,min,n_px,ce_px,cs_px,n_p,i_uiip,p_uiip,i_f,p_f,i_uiipu,c_pu_p,p_pu
1,3,9,30,2.98,0,394.67,0.1,264.94,21.98,261.2,30.62,3.4,25.65,48.29
1,3,12,0,2.42,0,273.44,0.101,222.32,22.25,247.27,30.82,3.53,24.64,48.52
1,3,12,30,2.32,0,285.35,0.101,238.65,21.8,247.67,30.8,3.47,26.3,48.46
1,3,12,45,2.27,0,284.48,0.101,222.53,21.77,250.13,30.63,3.53,25.19,48.51
1,3,13,45,2.1,0,153.83,0.102,199.07,21.18,264.13,31.28,135.8,25.75,49.28
1,3,18,0,1.91,46.26,0,0.101,177.5,20.01,256.87,31.77,287.67,26.04,50.51
1,3,19,45,1.91,8.49,6.17,0.1,197.07,20.26,258.87,31.58,286.27,26.75,50.54
1,3,20,0,1.9,5.01,11.09,0.1,192.89,20.24,262.93,31.25,289.87,24.61,50.41
1,3,23,0,2.07,342.35,0,0.1,147.95,16.71,243.8,32.81,371.27,0,52.76
1,3,23,15,2.12,352.29,0,0.1,150.5,16.55,241.87,32.95,369.93,0,52.85
1,4,1,45,2.64,409.33,0,0.1,162.79,16.51,233.13,33.93,361.6,0,53.61
1,4,3,30,3.03,432.76,0,0.101,115,17.11,236.07,34.46,359.87,0,54.21
1,4,3,45,3.08,434.31,0,0.102,124.07,16.8,237.27,34.37,356.8,0,54.22
1,4,4,45,3.3,448.54,0,0.1,127.16,16.67,258.4,34.54,357.13,0,54.25
1,4,12,0,2.57,0,194,0.101,219.62,21.23,228.6,31.31,109.53,25.79,49.65
1,4,12,45,2.45,0,220.92,0.101,233.24,20.5,246.13,31.37,98.07,25.89,49.46
1,4,13,45,2.31,0,207.47,0.105,182.5,20.9,259.67,31.18,100.93,25.03,49.33
1,4,14,0,2.27,0,206.55,0.108,191.51,20.87,259.6,31.18,103.73,26.45,49.27
1,4,17,0,1.97,0,103.55,0.106,177.49,19.77,258.2,31.21,103.33,27.1,49.32
1,4,17,45,1.92,0,59.07,0.106,172.76,19.74,253.13,31.61,141.73,26.2,49.91
1,4,21,15,1.76,48.95,0.05,0.104,179.73,19.58,236.6,31.3,284.27,0.28,50.5
1,4,22,0,1.79,218.37,0,0.107,180.65,20.51,214.93,31.67,367.33,0,51.73
1,4,22,15,1.81,279.42,0,0.108,176.96,20.44,211,31.99,377.33,0,52.05
1,4,22,30,1.84,268.67,0,0.105,176.4,20.64,228.87,32.11,377.33,0,52.18
1,4,22,45,1.87,304.83,0,0.105,179.37,20.44,243.67,32.41,375.87,0,52.34
1,4,23,15,1.95,339.27,0,0.104,150.98,16.78,239.73,32.67,375,0,52.46
1,5,1,15,2.32,362.45,0,0.103,209.15,16.56,237.2,32.94,368,0,52.87
1,5,2,0,2.46,366.46,0,0.103,203.93,16.59,233.73,33.22,365.4,0,53.1
1,5,2,45,2.59,382.48,0,0.103,178.74,16.6,231.07,33.47,363.07,0,53.4
1,5,3,15,2.68,332.28,0,0.103,170.46,15.7,235.07,33.18,366.27,0,52.93
1,5,5,30,3.09,304.49,0,0.101,170.36,16.54,256.13,33.48,362.8,0,53.43
1,5,12,0,2.25,0,192.23,0.101,224.43,21.24,234.27,31.37,122.4,24.76,49.44
1,5,12,45,2.14,0,206.11,0.1,220.2,21.21,252,30.97,102.13,26.91,49.09
1,5,13,45,2,0,166.61,0.1,195.96,21.26,249.27,31.14,137.53,25.16,49.5
1,5,16,45,1.67,0,95.81,0.1,179.18,20.69,249.6,31.08,204.27,26.52,49.61
1,5,19,30,1.72,121.67,0,0.1,187.94,20.71,241.73,31.33,314.53,25.72,50.67
1,5,20,0,1.74,95.3,0,0.1,174.17,20.68,244.8,31.44,316.73,25.03,50.62
1,5,20,45,1.76,102.23,0,0.101,159.14,20.81,246,31.41,315.13,25.89,50.71
1,5,23,15,2.01,315.97,0,0.1,130.46,16.46,231.53,32.57,375.47,0,52.59
1,6,0,15,2.18,358.18,0,0.101,152.23,16.56,225.13,33.01,372.33,0,52.97
1,6,1,30,2.44,423.37,0,0.101,132.63,16.52,239.73,33.85,365.07,0,53.65
1,6,1,45,2.5,431.81,0,0.1,133.25,16.56,239.07,33.88,364.4,0,53.77
1,6,2,15,2.61,410.69,0,0.1,124.14,16.59,241.6,33.7,367.4,0,53.48
1,6,2,45,2.72,438.37,0,0.1,126.05,16.54,237.67,34.02,362.27,0,53.91
1,6,3,45,2.95,436.24,0,0.1,121.91,16.59,233.73,34.36,359.87,0,54.2
1,6,12,45,2.25,0,167,0.1,210.92,21.71,255.53,31.3,143.33,25.78,49.31
1,6,15,45,1.97,0,48.13,0.1,167.59,20.22,264.6,31.16,101.53,24.51,49.24
1,6,21,30,3.7809999999999997,510.815,0,0.19,326.47700000000003,38.342,473.993,61.92100000000001,677.0269999999999,0.133,98.781
1,7,0,15,2.44,383.19,0,0.1,223.25,16.47,259.67,33.51,370.6,0,53.22
1,7,1,45,2.74,394.72,0,0.1,200.27,16.76,254.27,33.87,362.67,0,53.67
1,7,2,30,2.88,380.37,0,0.1,183.2,16.44,255.53,33.73,364.07,0,53.52
1,7,5,0,3.29,134.55,0,0.1,187.56,16.48,266.27,32.82,128.13,0,50.98
1,7,5,15,3.31,198.58,0,0.1,172.01,16.52,264.2,33.03,126.87,0,51.25
1,7,5,30,3.33,137.05,0,0.1,171.12,17.01,249.27,33.07,127,0,51.34
1,7,9,15,2.83,0,360.43,0.1,297.73,21.61,251.33,30.47,3.33,25.82,48.32
1,7,10,15,2.58,0,373.17,0.1,273.12,21.67,254,30.27,3.6,26.44,47.93
1,7,11,0,2.4,0,340.76,0.1,288.26,22.16,254.6,30.2,4.2,24.63,48.14
1,7,12,45,2.05,0,189.58,0.1,225.02,21.16,243.07,31.07,114.47,25.35,49.12
1,7,14,0,1.87,0,222.09,0.1,212.43,20.65,256.93,30.87,96.87,24.78,48.82
