id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
413,correlation_ids_0,0.806640625,received_at,0.806640625,0.52,0.50,0.49,0.50,0.51,0.51,0.53,0.53,0.51,0.51,0.51,0.51,0.51,0.51,0.50,0.51,0.51,0.50,0.51,0.51,0.51,0.52,0.52,0.52,0.52,12.78,0.51,false
414,correlation_ids_0,0.80859375,received_at,0.80859375,0.48,0.47,0.46,0.46,0.47,0.48,0.48,0.46,0.47,0.46,0.46,0.46,0.46,0.46,0.47,0.45,0.45,0.47,0.47,0.48,0.45,0.46,0.46,0.47,0.47,11.63,0.47,false
415,correlation_ids_0,0.810546875,received_at,0.810546875,0.48,0.48,0.47,0.46,0.48,0.48,0.48,0.47,0.47,0.46,0.48,0.47,0.46,0.47,0.49,0.46,0.46,0.47,0.47,0.49,0.46,0.46,0.47,0.48,0.47,11.79,0.47,false
416,correlation_ids_0,0.8125,received_at,0.8125,0.50,0.51,0.51,0.51,0.51,0.51,0.52,0.52,0.52,0.52,0.51,0.53,0.50,0.50,0.50,0.51,0.50,0.51,0.51,0.52,0.51,0.51,0.52,0.52,0.51,12.79,0.51,false
417,correlation_ids_0,0.814453125,received_at,0.814453125,0.45,0.46,0.45,0.46,0.45,0.46,0.47,0.44,0.45,0.44,0.44,0.45,0.44,0.43,0.46,0.44,0.43,0.44,0.44,0.46,0.44,0.44,0.43,0.45,0.44,11.16,0.45,false
418,correlation_ids_0,0.81640625,received_at,0.81640625,0.47,0.46,0.46,0.45,0.46,0.46,0.48,0.45,0.46,0.45,0.46,0.46,0.44,0.45,0.47,0.44,0.45,0.45,0.45,0.47,0.45,0.45,0.45,0.47,0.45,11.41,0.46,false
419,correlation_ids_0,0.818359375,received_at,0.818359375,0.45,0.45,0.45,0.44,0.45,0.45,0.47,0.44,0.45,0.45,0.45,0.45,0.44,0.44,0.46,0.44,0.43,0.44,0.44,0.46,0.45,0.44,0.43,0.45,0.45,11.17,0.45,false
420,correlation_ids_0,0.8203125,received_at,0.8203125,0.46,0.46,0.46,0.45,0.46,0.46,0.48,0.45,0.45,0.45,0.45,0.46,0.45,0.45,0.47,0.46,0.44,0.46,0.45,0.47,0.46,0.46,0.45,0.47,0.47,11.45,0.46,false
421,correlation_ids_0,0.822265625,received_at,0.822265625,0.46,0.46,0.45,0.45,0.47,0.45,0.47,0.44,0.45,0.46,0.45,0.46,0.46,0.45,0.45,0.45,0.44,0.45,0.44,0.46,0.46,0.45,0.44,0.46,0.46,11.34,0.45,false
422,correlation_ids_0,0.82421875,received_at,0.82421875,0.49,0.50,0.50,0.49,0.50,0.49,0.51,0.50,0.50,0.50,0.51,0.50,0.52,0.49,0.49,0.51,0.50,0.51,0.51,0.50,0.50,0.50,0.51,0.51,0.51,12.55,0.50,false
423,correlation_ids_0,0.826171875,received_at,0.826171875,0.52,0.51,0.51,0.50,0.52,0.52,0.52,0.54,0.51,0.52,0.52,0.51,0.52,0.51,0.50,0.52,0.51,0.51,0.52,0.52,0.52,0.52,0.52,0.52,0.52,12.91,0.52,false
424,correlation_ids_0,0.828125,received_at,0.828125,0.48,0.48,0.50,0.48,0.49,0.48,0.49,0.47,0.48,0.48,0.49,0.48,0.48,0.49,0.50,0.48,0.47,0.49,0.48,0.49,0.49,0.48,0.48,0.51,0.49,12.13,0.49,false
