id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
171,2021 Nivel depósito ,0.3205128205128206,,,0.37,0.37,0.37,0.37,0.36,0.36,0.37,0.38,0.36,0.37,0.38,0.37,0.38,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.38,0.38,0.38,0.37,9.28,0.37,false
172,2021 Nivel depósito ,0.3461538461538457,,,0.37,0.37,0.37,0.37,0.36,0.37,0.38,0.38,0.36,0.38,0.38,0.37,0.37,0.37,0.36,0.38,0.36,0.38,0.36,0.37,0.36,0.38,0.38,0.36,0.37,9.26,0.37,false
173,2021 Nivel depósito ,0.33333333333333315,,,0.37,0.37,0.38,0.37,0.37,0.37,0.38,0.38,0.36,0.38,0.37,0.38,0.39,0.37,0.37,0.37,0.37,0.38,0.38,0.38,0.37,0.38,0.40,0.38,0.38,9.40,0.38,false
174,2021 Nivel depósito ,0.29487179487179493,,,0.40,0.38,0.39,0.38,0.38,0.38,0.40,0.39,0.37,0.38,0.38,0.38,0.39,0.38,0.38,0.38,0.38,0.39,0.38,0.37,0.37,0.38,0.39,0.39,0.39,9.58,0.38,false
175,2021 Nivel depósito ,0.3076923076923075,,,0.38,0.38,0.39,0.38,0.39,0.37,0.39,0.38,0.38,0.38,0.39,0.38,0.38,0.39,0.39,0.38,0.38,0.41,0.37,0.38,0.38,0.39,0.39,0.38,0.38,9.59,0.38,false
176,2021 Nivel depósito ,0.33333333333333315,,,0.39,0.39,0.39,0.38,0.39,0.38,0.39,0.39,0.38,0.38,0.39,0.38,0.39,0.39,0.39,0.38,0.37,0.39,0.38,0.38,0.38,0.39,0.40,0.38,0.39,9.64,0.39,false
177,2021 Nivel depósito ,0.3589743589743588,,,0.39,0.39,0.40,0.39,0.39,0.38,0.40,0.40,0.38,0.40,0.40,0.39,0.41,0.40,0.40,0.41,0.37,0.38,0.38,0.39,0.39,0.40,0.41,0.39,0.40,9.84,0.39,false
178,2021 Nivel depósito ,0.397435897435897,,,0.38,0.39,0.38,0.38,0.39,0.38,0.39,0.39,0.38,0.38,0.39,0.38,0.38,0.39,0.39,0.38,0.38,0.40,0.37,0.38,0.38,0.38,0.39,0.40,0.40,9.63,0.39,false
179,2021 Nivel depósito ,0.41025641025641013,,,0.39,0.38,0.39,0.37,0.38,0.37,0.40,0.38,0.38,0.39,0.37,0.38,0.39,0.38,0.38,0.38,0.38,0.39,0.37,0.37,0.37,0.41,0.39,0.39,0.37,9.55,0.38,false
180,2021 Nivel depósito ,0.3589743589743588,,,0.39,0.38,0.39,0.38,0.37,0.39,0.39,0.38,0.39,0.39,0.38,0.39,0.38,0.39,0.39,0.39,0.40,0.39,0.40,0.38,0.38,0.38,0.39,0.39,0.39,9.67,0.39,false
