num,n_px,ce_px,cs_px,n_p,i_uiip,p_uiip,i_f,p_f,i_uiipu,c_pu_p,p_pu,month_day_hour_min,truth
248,2.27,0,284.48,0.101,222.53,21.77,250.13,30.63,3.53,25.19,48.51,243,0
249,2.21,0,298.55,0.101,220.61,21.62,250,30.61,3.47,25.53,48.24,244,0
250,2.16,0,168.64,0.102,218.32,21.21,253.87,31.12,147.53,25.18,49.44,245,0
251,2.13,0,146.47,0.1,208.07,21.28,260.2,31.33,142.87,26.12,49.48,246,0
252,2.1,0,153.83,0.102,199.07,21.18,264.13,31.28,135.8,25.75,49.28,247,0
253,2.07,0,166.85,0.101,213.27,21.12,269.2,30.87,142.93,25.75,48.97,248,0
254,2.04,0,125.15,0.101,207.24,21.29,265.6,31.14,140.53,24.35,49.14,249,0
255,2.01,0,109.71,0.1,196.73,21.39,264.27,31.24,138.4,26.19,49.56,250,0
256,1.99,0,97.37,0.1,195.44,21.26,263.27,31.33,137.47,25.29,49.61,251,0
257,1.96,0,88.29,0.101,191.78,21.18,263.33,31.31,138.87,25.64,49.39,252,0
258,1.95,0,92.55,0.1,184.34,21.13,261.6,31.41,140.2,24.75,49.46,253,0
259,1.93,0,62.59,0.101,182.69,20.9,264.33,31.2,138.47,25.68,49.54,254,0
260,1.91,2.65,26.56,0.1,176.72,20.1,261.33,31.46,138.4,25.33,49.63,255,0
261,1.9,0,57.53,0.1,170.98,20.37,261.6,31.41,136.33,25.76,49.52,256,0
262,1.88,0,43.93,0.1,173.35,20.24,263.53,31.23,137.93,25.73,49.54,257,0
263,1.87,0,43.59,0.1,190.52,20.1,260.07,31.51,138,24.67,49.59,258,0
264,1.86,121.29,15.91,0.101,170.5,20.28,260.53,31.52,278.2,25.25,50.76,259,0
265,1.87,171.49,0,0.101,174.41,20.29,259,31.62,367.47,25.44,51.48,260,0
266,1.88,169.55,0,0.1,178.82,20.29,258.73,31.65,354.33,26.81,51.37,261,0
