n_px,n_p,truth
3.42,2.998,0
3.43,2.969,0
3.42,2.945,0
3.4,2.918,0
2.88,2.255,0
2.84,2.15,0
2.81,2.035,0
2.77,1.763,0
2.94,1.148,0
3.03,1.078,0
2.95,0.987,0
2.73,0.946,0
2.24,0.907,0
2.49,1.072,0
2.83,1.672,0
3.05,2.269,0
3.1,2.418,0
3.23,2.805,0
3.17,2.757,0
2.4,1.777,0
2.42,1.403,0
2.43,1.369,0
2.45,1.29,0
2.46,1.162,0
2.47,1.12,0
2.56,0.93,0
2.62,0.919,0
1.97,0.649,0
1.97,0.645,0
1.97,0.64,0
1.97,0.638,0
2.09,0.543,0
2.13,0.53,0
2.25,0.833,0
2.34,1.077,0
2.4,1.239,0
2.43,1.318,0
2.73,1.887,0
2.83,2.051,0
3.09,2.539,0
3.21,2.76,0
2.56,1.944,0
2.49,1.693,0
2.53,1.363,0
2.53,1.26,0
2.53,1.257,0
2.35,1.101,0
2.3,1.067,0
2.17,1.001,0
1.77,0.81,0
2.06,1.075,0
2.43,1.853,0
2.45,1.916,0
2.58,2.279,0
2.64,2.437,0
2.66,2.506,0
2.68,2.572,0
2.69,2.637,0
2.66,2.399,0
2.64,1.936,0
2.66,1.75,0
2.7,1.311,0
2.71,1.276,0
2.74,1.24,0
2.76,1.233,0
2.76,1.233,0
2.61,1.149,0
2.1,0.901,0
1.95,0.85,0
1.92,0.851,0
1.9,0.85,0
1.96,0.85,0
2.28,1.316,0
2.36,1.475,0
2.48,1.713,0
2.99,2.41,0
3.09,2.41,0
3.23,2.83,0
3.11,2.724,0
3.04,2.664,0
2.52,2.085,0
2.51,1.917,0
2.52,1.832,0
2.55,1.619,0
2.56,1.535,0
2.56,1.452,0
2.57,1.411,0
2.58,1.333,0
2.29,0.969,0
2.22,0.945,0
2.15,0.927,0
1.97,0.873,0
1.95,0.87,0
1.94,0.87,0
2.01,0.87,0
2.42,1.664,0
3.02,2.771,0
3.07,2.81,0
2.5,2.107,0
2.5,2.067,0
2.49,2.025,0
2.5,1.904,0
2.54,1.66,0
2.57,1.591,0
2.6,1.44,0
2.61,1.44,0
2.63,1.44,0
2.71,1.44,0
2.73,1.44,0
2.73,1.421,0
2.67,1.401,0
2.32,1.289,0
2.13,1.221,0
2.05,1.021,0
2.12,0.951,0
2.25,1.071,0
2.31,1.245,0
2.34,1.331,0
2.38,1.408,0
2.44,1.553,0
2.62,1.843,0
2.66,1.914,0
3.16,2.583,0
3.44,2.898,0
2.98,2.277,0
2.73,1.73,0
2.66,1.435,0
2.66,1.335,0
2.66,1.259,0
2.68,1.142,0
2.68,1.111,0
2.73,1.045,0
2.64,0.991,0
2.11,0.731,0
2.01,0.675,0
1.86,0.599,0
2.15,0.886,0
2.22,1.061,0
2.44,1.497,0
3.35,2.796,0
3.46,2.568,0
3.21,2.229,0
3.16,2.179,0
2.82,1.8,0
2.82,1.715,0
2.84,1.63,0
2.85,1.587,0
2.88,1.503,0
2.93,1.381,0
2.98,1.305,0
3.04,1.233,0
3.01,1,0
2.98,0.996,0
2.92,0.983,0
2.88,0.966,0
3.03,0.988,0
3.06,1.071,0
3.09,1.154,0
3.17,1.317,0
3.25,1.479,0
3.63,2.227,0
3.81,2.607,0
3.96,2.899,0
4.06,3.008,0
4,2.973,0
3.95,2.935,0
3.58,2.668,0
3.51,2.623,0
3.19,2.46,0
2.82,2.231,0
2.73,1.956,0
2.89,1.844,0
2.9,1.84,0
2.86,1.691,0
2.68,1.47,0
2.58,1.34,0
2.53,1.277,0
2.47,1.22,0
2.41,1.166,0
2.37,1.141,0
2.74,1.302,0
2.89,1.495,0
3.8,2.743,0
3.52,2.627,0
3.37,2.545,0
3.3,2.505,0
3.23,2.471,0
3.09,2.347,0
3.05,2.287,0
3.01,2.17,0
3.03,2.145,0
3.11,1.981,0
3.19,1.917,0
3.14,1.793,0
2.84,1.407,0
2.47,1.002,0
2.53,0.98,0
2.56,0.98,0
2.88,1.373,0
2.92,1.44,0
3.02,1.573,0
3.1,1.705,0
3.75,2.75,0
3.26,2.444,0
3.19,2.403,0
3.13,2.359,0
3.06,2.324,0
3.01,2.32,0
2.96,2.299,0
2.94,2.293,0
2.9,2.28,0
2.84,2.28,0
2.83,2.28,0
2.79,2.28,0
2.77,2.271,0
2.9,2.146,0
2.88,2.1,0
2.17,1.443,0
2.1,1.383,0
3.34,2.566,0
3.64,2.801,0
3.64,2.771,0
3.38,2.623,0
3.1,2.436,0
3.03,2.396,0
2.96,2.355,0
2.76,2.223,0
2.64,2.121,0
2.62,2.097,0
2.63,1.955,0
2.64,1.916,0
2.64,1.9,0
2.64,1.9,0
2.65,1.891,0
2.7,1.89,0
2.72,1.89,0
2.71,1.547,0
2.57,1.355,0
2.53,1.289,0
2.41,0.833,0
2.74,1.367,0
2.87,1.594,0
3.06,1.898,0
3.14,2.051,0
3.28,2.277,0
3.45,2.577,0
3.51,2.726,0
3.56,2.763,0
3.37,2.337,0
3.33,2.304,0
3.03,2,0
2.95,1.971,0
2.85,1.97,0
2.65,1.965,0
2.61,1.963,0
2.52,1.792,0
2.25,1.344,0
2.12,1.15,0
2.08,1.089,0
1.81,0.684,0
1.8,0.627,0
2.18,1.255,0
2.33,1.491,0
2.39,1.57,0
2.44,1.649,0
2.61,1.883,0
3.14,2.513,0
3.17,2.481,0
3.2,2.457,0
3.24,2.451,0
2.93,2.191,0
2.72,1.937,0
2.64,1.87,0
2.32,1.621,0
2.11,1.194,0
2.25,1.045,0
2.54,1.314,0
2.8,1.631,0
3.17,2.137,0
3.22,2.213,0
3.28,2.291,0
3.38,2.443,0
3.64,2.833,0
3.76,2.96,0
3.92,2.96,0
3.99,2.953,0
3.71,2.595,0
3.67,2.505,0
3.53,2.351,0
3.51,2.317,0
3.47,2.289,0
3.4,2.212,0
3.31,2.14,0
3.3,2.14,0
3.27,2.14,0
3.16,2.136,0
3.09,1.611,0
3.17,1.525,0
3.62,1.905,0
4.01,2.596,0
4.07,2.727,0
4.09,2.789,0
3.22,2.526,0
3.08,2.421,0
2.86,2.189,0
2.82,2.109,0
2.83,2.074,0
2.88,1.825,0
3.09,1.411,0
2.97,1.279,0
2.78,1.116,0
2.61,0.945,0
2.5,0.831,0
2.37,0.708,0
2.47,0.69,0
2.69,0.863,0
3.07,1.495,0
3.42,2.185,0
3.73,2.897,0
3.78,2.947,0
3.74,2.853,0
3.54,2.701,0
3.4,2.637,0
3.19,2.517,0
2.98,1.912,0
3.06,1.661,0
3.08,1.639,0
2.83,1.253,0
2.4,1.013,0
2.34,0.972,0
2.59,0.978,0
2.76,1.283,0
3.56,2.706,0
3.59,2.785,0
3.45,2.7,0
3.24,2.597,0
3.02,2.494,0
2.67,2.337,0
2.24,1.895,0
2.16,1.647,0
2.23,1.419,0
2.42,1.265,0
2.49,1.215,0
2.22,0.999,0
2.33,0.759,0
2.67,1.125,0
2.77,1.273,0
3.13,1.949,0
3.45,2.575,0
3.65,2.909,0
3.68,2.91,0
3.75,2.91,0
3.79,2.853,0
3.21,2.313,0
3.2,2.271,0
3.21,2.132,0
3.22,2.067,0
3.32,1.561,0
2.51,0.919,0
2.42,0.839,0
2.75,1.357,0
2.94,1.65,0
3.09,1.883,0
3.36,2.365,0
3.51,2.597,0
3.23,2.429,0
3.16,2.368,0
2.78,2.019,0
2.75,1.909,0
2.74,1.875,0
2.74,1.805,0
2.92,1.284,0
2.95,1.247,0
2.84,1.148,0
2.64,1.013,0
2.59,0.975,0
2.5,0.893,0
2.32,0.736,0
2.29,0.703,0
2.21,0.64,0
2.19,0.64,0
2.18,0.64,0
2.22,0.741,0
2.3,0.883,0
2.44,1.138,0
2.89,1.901,0
2.94,1.995,0
2.99,2.09,0
3.12,2.373,0
3.61,2.909,0
3.69,2.905,0
3.7,2.735,0
3.47,2.479,0
3.32,2.331,0
3.04,1.948,0
3.03,1.778,0
3.09,1.612,0
3.17,1.455,0
3.19,1.427,0
3.22,1.371,0
3.26,1.331,0
3.3,1.239,0
3.12,1.091,0
2.73,0.753,0
