month,day,hour,min,i_uiip,i_f,i_uiipu,truth
1,19,16,15,159.62,259.6,380.13,0
1,19,16,30,173.18,262.73,380.4,0
1,19,18,30,205.07,271.87,377.47,0
1,19,19,15,186.43,269.33,377.87,0
1,19,19,30,181.81,266.67,379.87,0
1,19,20,0,199.52,270.73,376.47,0
1,19,21,15,188.25,248.73,335.8,0
1,19,22,45,155.23,239.6,341.67,0
1,19,23,15,138.97,237.13,363.27,0
1,20,1,0,137.61,252.47,328.13,0
1,20,2,0,121.2,247.6,306,0
1,20,3,15,111.88,244.4,227.87,0
1,20,7,45,230.36,245.67,109.07,0
1,20,9,45,211.66,237.73,40.73,0
1,20,11,30,232.92,234.73,109.53,0
1,20,15,0,169.82,214.27,114.6,0
1,20,15,30,163.18,220.33,110.47,0
1,20,18,45,181.86,262.33,328.07,0
1,20,19,45,189.99,265.27,337.33,0
1,20,20,15,193.31,261.33,337.2,0
1,20,21,15,154.27,253.73,335.6,0
1,21,0,30,188.03,234.67,366.73,0
1,21,4,0,152.62,244.67,364.53,0
1,21,6,45,189.65,226.87,110.27,0
1,21,8,15,237.31,249.13,1.8,0
1,21,8,30,236.13,252.07,2.2,0
1,21,8,45,259.47,248.33,1.87,0
1,21,11,45,226.9,267.13,116,0
1,21,13,45,203.88,275.6,57.2,0
1,21,14,45,185.51,269.33,121.33,0
1,21,15,15,182.98,270.2,120,0
1,21,16,0,171.83,264.4,326.13,0
1,21,16,30,190.22,264.93,327.8,0
1,21,17,15,180.06,261.47,326.87,0
1,21,20,30,173.76,252.87,326.53,0
1,21,23,0,111.45,250.47,376.13,0
1,22,1,15,100.83,255.33,364.2,0
1,22,2,15,92.02,255.67,361,0
1,22,4,30,104.04,254.73,355.67,0
1,22,8,0,192.41,277,3.27,0
1,22,10,0,258.04,287.67,3.27,0
1,22,16,15,189.23,246.93,126.2,0
1,22,17,45,173.3,270.8,125.4,0
1,22,18,45,184.13,268.2,313.2,0
1,22,21,15,157.19,258.73,376.27,0
1,22,21,30,147.75,257.93,375.53,0
1,22,23,30,127.91,254.27,368.67,0
1,23,2,0,88.93,252.27,360.33,0
1,23,2,15,93.91,249.33,359.73,0
1,23,4,0,99.92,246.47,352.4,0
1,23,6,0,153.47,249,353.73,0
1,23,6,15,121.74,261.73,301.33,0
1,23,7,15,0,232.87,194.47,0
1,23,7,45,0,223.8,194.67,0
1,23,8,45,0,255.07,2.6,0
1,23,9,15,0,265.8,2.8,0
1,23,9,30,0,393.195,4.199999999999999,1
1,23,11,15,0,249.27,125.13,0
1,23,12,30,0,249.47,98.2,0
1,23,13,0,0,256.33,3.13,0
1,23,16,15,0,238.6,122.47,0
1,23,16,30,0,238.07,123.47,0
1,23,19,15,173.82,266.93,375.4,0
1,23,20,30,170.4,257.93,376.87,0
1,23,22,0,163.91,244.93,369.13,0
1,23,22,15,156.27,249.8,371.47,0
1,23,23,15,146.01,246.27,369.6,0
1,24,0,15,187.76,253.2,362.8,0
1,24,0,30,182.84,267.53,360.13,0
1,24,0,45,172.26,274,358.67,0
1,24,1,30,153.18,268.8,360.53,0
1,24,2,30,155.21,236.87,363.27,0
1,24,2,45,149.85,236.33,362.73,0
1,24,6,30,194.23,245.73,117.33,0
1,24,6,45,180.38,252.87,117.2,0
1,24,7,0,188.77,254.93,102.87,0
1,24,11,0,211.12,225.87,108,0
1,24,11,45,75.39,229.07,108.6,0
1,24,15,30,0.23,231.33,1.53,0
1,24,15,45,0.22,235.67,1.53,0
