i_uiip,i_f,i_uiipu,truth
231.73,248.53,277.13,0
231.79,235.67,276,0
233.74,228.2,295,0
231.99,233.53,293.07,0
126.5,228.73,371.93,0
110.37,250.67,111.13,0
124.87,223.2,254.8,0
180.94,219.33,356.6,0
184.27,221.2,355.13,0
161.97,234.93,369.2,0
327.54,252.67,324.07,0
359.98,248.87,321.13,0
369.46,251.8,262.67,0
398.2,243.53,264.27,0
406.97,222.87,261.87,0
399.08,230,241.07,0
394.48,228.4,204.87,0
415.91,224.93,207.13,0
122.59,249.93,122.87,0
100.24,222.67,378.47,0
103.22,223.47,377.47,0
116.55,221.27,377,0
204.81,223.87,372.73,0
189.4,223.87,339.13,0
124.64,232.87,109.07,0
106.21,287,107.27,0
106.16,283.27,106.6,0
106.84,284.4,107.13,0
137.42,269.8,196.4,0
375.1,234.07,308.33,0
361.37,238.07,310.2,0
338.31,248.8,308.67,0
235.7,251.27,344.87,0
147.88,213.53,378.67,0
139.59,210,378.27,0
108.88,234.8,378.93,0
141.5,233.73,377.73,0
206.94,233.33,330.47,0
203.01,234.4,331.53,0
182.66,231.2,329.73,0
105.99,264.93,106.2,0
101.73,273.87,102.4,0
219,251.2,381.93,0
213.71,245.2,344.67,0
443.59,236.33,254.33,0
451.64,237,239.87,0
434.05,239,220.2,0
408.78,237.2,219.8,0
386.87,235.07,220.07,0
430.26,241.93,231.87,0
260.5,238.8,344.73,0
90.59,259.67,91.33,0
91.06,261,91.8,0
88.9,261.4,88.87,0
89.04,251.6,89.47,0
88.91,241.47,89.47,0
105.85,223.93,150.93,0
97.32,210.13,378.47,0
101.06,214.47,381.47,0
121.53,211.93,378.4,0
166.71,217.6,375.47,0
166.42,247.07,374.87,0
168.56,245.73,307.47,0
156.89,247.2,309.73,0
157.21,242.73,308.13,0
116.17,228.93,115.73,0
217.76,228.93,380.87,0
212.06,228.33,378.53,0
182.22,222.53,323.33,0
359.02,219.47,366,0
371.59,231.67,285.33,0
396.95,222.33,207.73,0
122.61,240.4,122.6,0
120.99,224.67,121.07,0
193.28,211.93,381.13,0
228.33,209.87,295.27,0
230.86,213.8,295.07,0
224.12,213.67,298.13,0
153.92,223.07,354.07,0
167.12,227.2,375.2,0
371.28,223.8,372.33,0
436.51,245.07,297.33,0
429.74,246.67,256.8,0
439.96,235.87,239.93,0
377.12,230.13,256.6,0
419.07,227.53,218.67,0
410.29,221.87,217.47,0
386.52,225.8,225.27,0
219.57,227.73,323.13,0
110.75,243,103.07,0
120.04,220.67,121,0
187.97,195,345.13,0
192.1,208.67,292,0
167.91,222.53,337.87,0
165.17,222.2,338.27,0
147.35,248.13,341.47,0
141.67,244.07,343.87,0
149.08,242,379.4,0
145.56,245.2,382.27,0
137.98,237.07,380.13,0
131.76,222.4,376.93,0
209.29,222.13,376.27,0
342.66,224.8,342.33,0
355.71,221.8,315.93,0
354.83,220.6,286,0
358.26,222.07,281.93,0
106.32,237.8,106.87,0
105.7,217.53,105.73,0
105.11,225.4,104.8,0
102.86,249.2,103,0
103.57,232.8,104.2,0
161.92,215.53,379.93,0
169.66,215.33,378.13,0
166.2,214.6,377.6,0
87.97,228.27,380.47,0
162.38,231.93,375.53,0
183.76,231.8,377.07,0
174.21,224.67,330.67,0
327.87,217.07,306.53,0
325.51,214.27,286.27,0
330.25,224.87,354.2,0
294.83,238.47,157.6,0
299.67,226.87,267.13,0
304.16,230.2,266.33,0
134.82,245.53,135.27,0
136.88,257.53,136.87,0
135.28,207.27,135.8,0
135.41,206.07,135.87,0
137.28,201.13,137.47,0
144.5,207.8,204.2,0
131.98,214,370.47,0
118.13,221.27,378.4,0
117.4,224,376.13,0
149.9,220,375.33,0
152.41,224.4,321.67,0
380.68,240.13,317.67,0
380.86,234.07,273.27,0
392.09,208.2,244.53,0
233.4,252.8,281.87,0
194.36,253.27,196.33,0
230.96,259.53,196.47,0
98.27,241.67,98.6,0
98.28,227.87,98.47,0
98.85,214.53,99.2,0
98.63,218.27,99,0
99.31,218.93,99.47,0
185.28,222.13,379.87,0
159.01,226.2,376.4,0
144.43,217.67,377.13,0
134.03,223.4,375.67,0
146.45,219.07,377.13,0
121.72,238.47,122.53,0
96.03,242.13,97.13,0
181.25,223.27,379.8,0
191.71,221.47,378.73,0
177.88,217,375.87,0
396.53,221.87,200.87,0
399.56,222.07,201,0
384.37,216.6,200.6,0
360.11,206.33,340.2,0
361.99,207.53,337.13,0
365.63,214.4,340.27,0
192.26,246.13,350.73,0
167.79,246.4,361.47,0
144.29,219.4,363.33,0
86.5,220.4,372.07,0
159.98,216.53,376.8,0
148.04,227.8,361.47,0
79.83,226.27,80.33,0
86.74,242.13,87.4,0
132.37,242.87,111.8,0
