month,day,hour,min,i_f,p_f,truth
1,7,12,15,244.53,30.95,0
1,7,12,30,246.33,30.83,0
1,7,12,45,243.07,31.07,0
1,7,13,0,251.13,30.89,0
1,7,13,15,255.6,31.01,0
1,7,13,30,255.07,31.05,0
1,7,13,45,258.33,30.77,0
1,7,14,0,256.93,30.87,0
1,7,14,15,259.07,30.72,0
1,7,14,30,257.6,30.82,0
1,7,14,45,255.4,30.97,0
1,7,15,0,254.07,31.1,0
1,7,15,15,256.8,30.87,0
1,7,15,30,257.33,30.86,0
1,7,15,45,251.07,31.29,0
1,7,16,0,250.67,31.35,0
1,7,16,15,255.8,30.97,0
1,7,16,30,250.4,31.4,0
1,7,16,45,250.73,31.36,0
1,7,17,0,250.93,31.37,0
1,7,17,15,249.47,31.48,0
1,7,17,30,251,31.39,0
1,7,17,45,249,31.52,0
1,7,18,0,251,31.39,0
1,7,18,15,249.2,31.49,0
1,7,18,30,247.47,31.65,0
1,7,18,45,249.4,31.48,0
1,7,19,0,250.33,31.41,0
1,7,19,15,242.4,31.67,0
1,7,19,30,244.47,31.44,0
1,7,19,45,249.4,31.45,0
1,7,20,0,250.8,31.37,0
1,7,20,15,250.2,31.38,0
1,7,20,30,248.53,31.53,0
1,7,20,45,251.47,31.33,0
1,7,21,0,249.2,31.49,0
1,7,21,15,245.53,31.8,0
1,7,21,30,248.07,31.58,0
1,7,21,45,247.2,31.66,0
1,7,22,0,243.47,31.95,0
1,7,22,15,239.87,32.24,0
1,7,22,30,238.53,32.34,0
1,7,22,45,239,32.32,0
1,7,23,0,235.27,32.59,0
1,7,23,15,235.8,32.6,0
1,7,23,30,233.47,32.78,0
1,7,23,45,230.4,33,0
1,8,0,0,228.47,33.16,0
1,8,0,15,223.6,33.53,0
1,8,0,30,229.87,33.15,0
1,8,0,45,222.8,33.61,0
1,8,1,0,241,33.92,0
1,8,1,15,263.87,34.19,0
1,8,1,30,263.2,34.23,0
1,8,1,45,262.8,34.31,0
1,8,2,0,263.8,34.23,0
1,8,2,15,264.53,34.17,0
1,8,2,30,260.13,34.51,0
1,8,2,45,260,34.5,0
1,8,3,0,260.4,34.48,0
1,8,3,15,259.8,34.5,0
1,8,3,30,261.2,34.39,0
1,8,3,45,258.87,34.56,0
1,8,4,0,259,34.58,0
1,8,4,15,258.07,34.6,0
1,8,4,30,273.67,33.37,0
1,8,4,45,270.4,33.57,0
1,8,5,0,269.2,33.69,0
1,8,5,15,270.2,33.6,0
1,8,5,30,266.33,33.55,0
1,8,5,45,247.8,33.65,0
1,8,6,0,250.93,33.39,0
1,8,6,15,254.27,33.12,0
1,8,6,30,255.13,33.08,0
1,8,6,45,253.93,33.15,0
1,8,7,0,253.33,33.21,0
1,8,7,15,254.6,33.08,0
1,8,7,30,254,32.32,0
1,8,7,45,244.93,32.04,0
1,8,8,0,254,31.35,0
1,8,8,15,258.47,31.04,0
1,8,8,30,257,30.31,0
1,8,8,45,255.8,30.33,0
1,8,9,0,253.27,30.53,0
1,8,9,15,256.27,30.29,0
1,8,9,30,255.13,30.36,0
1,8,9,45,261.07,29.91,0
1,8,10,0,263.87,29.69,0
1,8,10,15,259.27,30.05,0
1,8,10,30,256.93,30.19,0
1,8,10,45,257.27,30.18,0
1,8,11,0,253.27,30.5,0
1,8,11,15,254.33,30.22,0
1,8,11,30,249.8,30.3,0
1,8,11,45,253.2,30.03,0
1,8,12,0,254.07,29.94,0
1,8,12,15,249.67,30.31,0
1,8,12,30,250,30.27,0
1,8,12,45,251.8,30.14,0
1,8,13,0,248.2,30.44,0
1,8,13,15,251.07,30.17,0
1,8,13,30,251.87,30.1,0
1,8,13,45,241.87,30.89,0
1,8,14,0,243.6,30.8,0
1,8,14,15,244.13,30.77,0
1,8,14,30,242.33,30.88,0
1,8,14,45,243.27,31,0
1,8,15,0,251.2,31.13,0
1,8,15,15,249.73,31.27,0
1,8,15,30,249.2,31.32,0
1,8,15,45,249.47,31.27,0
1,8,16,0,247.87,31.39,0
1,8,16,15,243.6,31.71,0
1,8,16,30,248.4,31.38,0
1,8,16,45,251.67,31.4,0
1,8,17,0,249.4,31.63,0
1,8,17,15,251.33,31.48,0
1,8,17,30,252.27,31.42,0
1,8,17,45,251.53,31.52,0
1,8,18,0,251.33,31.53,0
1,8,18,15,254.53,31.29,0
1,8,18,30,249.8,31.62,0
1,8,18,45,251.87,31.45,0
1,8,19,0,252.2,31.45,0
1,8,19,15,250.53,31.55,0
1,8,19,30,250.07,31.59,0
1,8,19,45,252.6,31.43,0
