month,day,hour,min,i_uiipu,c_pu_p,p_pu,truth
1,5,12,45,102.13,26.91,49.09,0
1,5,13,0,121.8,24.63,48.84,0
1,5,13,15,131.47,25.43,49.25,0
1,5,13,30,131.33,25.93,49.13,0
1,5,13,45,137.53,25.16,49.5,0
1,5,14,0,139.67,24.9,49.29,0
1,5,14,15,138.2,24.81,49.21,0
1,5,14,30,139.4,25.64,49.17,0
1,5,14,45,138.4,26.48,49.19,0
1,5,15,0,101.4,25.01,49.45,0
1,5,15,15,101.93,26.07,49.2,0
1,5,15,30,99.73,26.01,49.12,0
1,5,15,45,98.27,25.86,49.41,0
1,5,16,0,100.6,25.38,49.13,0
1,5,16,15,102,25.36,49.12,0
1,5,16,30,137.33,25.28,49.29,0
1,5,16,45,204.27,26.52,49.61,0
1,5,17,0,280.47,25.7,50.28,0
1,5,17,15,298.67,25.97,50.59,0
1,5,17,30,300.6,25.55,50.41,0
1,5,17,45,300.27,24.95,50.47,0
1,5,18,0,299.73,25.8,50.53,0
1,5,18,15,299.53,25.33,50.58,0
1,5,18,30,304.2,25.81,50.4,0
1,5,18,45,314.93,25.64,50.88,0
1,5,19,0,317.33,25.04,50.7,0
1,5,19,15,317.67,25.07,50.59,0
1,5,19,30,314.53,25.72,50.67,0
1,5,19,45,316,25.42,50.8,0
1,5,20,0,316.73,25.03,50.62,0
1,5,20,15,314.8,26.12,50.88,0
1,5,20,30,316.07,25.95,50.71,0
1,5,20,45,315.13,25.89,50.71,0
1,5,21,0,314.13,5.85,50.89,0
1,5,21,15,317.2,0.28,50.99,0
1,5,21,30,325.27,0.07,51.16,0
1,5,21,45,336.47,0,51.66,0
1,5,22,0,358.53,0,51.71,0
1,5,22,15,381.4,0,51.81,0
1,5,22,30,377.93,0,52.27,0
1,5,22,45,376.8,0,52.22,0
1,5,23,0,375.53,0,52.43,0
1,5,23,15,375.47,0,52.59,0
1,5,23,30,373.27,0,52.78,0
1,5,23,45,373.33,0,52.59,0
1,6,0,0,371.87,0,52.99,0
1,6,0,15,372.33,0,52.97,0
1,6,0,30,367.87,0,53.2,0
1,6,0,45,367,0,53.41,0
1,6,1,0,366.6,0,53.45,0
1,6,1,15,368.4,0,53.29,0
1,6,1,30,365.07,0,53.65,0
1,6,1,45,364.4,0,53.77,0
1,6,2,0,363.2,0,53.75,0
1,6,2,15,367.4,0,53.48,0
1,6,2,30,365.73,0,53.63,0
1,6,2,45,362.27,0,53.91,0
1,6,3,0,360.87,0,54.01,0
1,6,3,15,359.53,0,54.1,0
1,6,3,30,361.67,0,54.03,0
1,6,3,45,359.87,0,54.2,0
1,6,4,0,360.33,0,54.03,0
1,6,4,15,357.8,0,54.38,0
1,6,4,30,280.27,0,53.35,0
1,6,4,45,194.2,0,52.27,0
1,6,5,0,194.6,0,52.08,0
1,6,5,15,193.87,0,52.24,0
1,6,5,30,195.47,0,51.88,0
