id,received_at,uplink_message.rx_metadata.0.location.latitude,uplink_message.rx_metadata.0.location.longitude,uplink_message.rx_metadata.0.location.altitude,uplink_message.rx_metadata.0.gateway_ids.gateway_id,uplink_message.rx_metadata.0.gateway_ids.eui,uplink_message.rx_metadata.0.location.source,uplink_message.rx_metadata.1.location.latitude,uplink_message.rx_metadata.1.location.longitude,uplink_message.rx_metadata.1.location.altitude,uplink_message.rx_metadata.1.gateway_ids.gateway_id,uplink_message.rx_metadata.1.gateway_ids.eui,uplink_message.rx_metadata.1.location.source,uplink_message.rx_metadata.2.location.latitude,uplink_message.rx_metadata.2.location.longitude,uplink_message.rx_metadata.2.location.altitude,uplink_message.rx_metadata.2.gateway_ids.gateway_id,uplink_message.rx_metadata.2.gateway_ids.eui,uplink_message.rx_metadata.2.location.source,uplink_message.rx_metadata.3.location.latitude,uplink_message.rx_metadata.3.location.longitude,uplink_message.rx_metadata.3.location.altitude,uplink_message.rx_metadata.3.gateway_ids.gateway_id,uplink_message.rx_metadata.3.gateway_ids.eui,uplink_message.rx_metadata.3.location.source,uplink_message.rx_metadata.4.location.latitude,uplink_message.rx_metadata.4.location.longitude,uplink_message.rx_metadata.4.location.altitude,uplink_message.rx_metadata.4.gateway_ids.gateway_id,uplink_message.rx_metadata.4.gateway_ids.eui,uplink_message.rx_metadata.4.location.source,score
3772,0.41555580037457307,1,0,1,0.25,0.25,0,0.9999691071326231,0.013010930634308804,0.5,0.8,0.8,0,0.9999325920100464,0.0089573838176674,0.4,0,0,0,0.9999679289833249,0.007373631495418912,1,0.4,0.4,1,0,1,0,0,0,0,0.57
4053,0.44651316514266826,0.5417031809124497,0.9843014128728415,0.16666666666666666,0.75,0.75,0,1,0,1,0,0,0,0.9999325920100464,0.0089573838176674,0.4,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0.57
4101,0.45180125592156,0.3312533236838615,1,0.16666666666666666,0.5,0.5,0,0.9999691071326231,0.013010930634308804,0.5,0.8,0.8,0,1,0,1,0.2,0.2,0,0.9999679289833249,0.007373631495418912,1,0.4,0.4,1,0,1,0,0,0,0,0.57
4147,0.45686900958466453,0.3312533236838615,1,0.16666666666666666,0.5,0.5,0,0.9999691071326231,0.013010930634308804,0.5,0.8,0.8,0,1,0,1,0.2,0.2,0,0.9999679289833249,0.007373631495418912,1,0.4,0.4,1,0,1,0,0,0,0,0.57
4405,0.48529249752120746,0.3312533236838615,1,0.16666666666666666,0.5,0.5,0,0.9999679289833249,0.007373631495418912,1,0.2,0.2,0,1,0,1,0.2,0.2,0,0.9999691071326231,0.013010930634308804,0.5,0.6,0.6,1,0,1,0,0,0,0,0.57
4471,0.49256362234218354,0.5417031809124497,0.9843014128728415,0.16666666666666666,0.75,0.75,0,0.9999325920100464,0.0089573838176674,0.4,0.6,0.6,0,0,1,0,0.6,0.6,1,0,1,0,0,0,0,0,1,0,0,0,0,0.57
4691,0.5168007050787705,0.3312533236838615,1,0.16666666666666666,0.5,0.5,0,1,0,1,0,0,0,0,1,0,0.6,0.6,1,0,1,0,0,0,0,0,1,0,0,0,0,0.57
4831,0.5322243031838714,0.5417031809124497,0.9843014128728415,0.16666666666666666,0.75,0.75,0,0.9999325920100464,0.0089573838176674,0.4,0.6,0.6,0,0,1,0,0.6,0.6,1,0,1,0,0,0,0,0,1,0,0,0,0,0.57
4944,0.5446733502258455,0.3312533236838615,1,0.16666666666666666,0.5,0.5,0,0.9999691071326231,0.013010930634308804,0.5,0.8,0.8,0,1,0,1,0.2,0.2,0,0.9999325920100464,0.0089573838176674,0.4,0.2,0.2,1,0,1,0,0,0,0,0.57
4975,0.5480885755205465,0.5417031809124497,0.9843014128728415,0.16666666666666666,0.75,0.75,0,0.9999325920100464,0.0089573838176674,0.4,0.6,0.6,0,0,1,0,0.6,0.6,1,0,1,0,0,0,0,0,1,0,0,0,0,0.57
