month,day,hour,min,p_uiip,p_f,p_pu
1,7,3,0,16.54,33.95,53.61
1,7,3,15,16.62,33.88,53.66
1,7,3,30,16.59,33.92,53.69
1,7,3,45,16.51,33.97,53.76
1,7,4,0,16.51,33.98,53.7
1,7,4,15,16.56,34.33,53.98
1,7,4,30,16.56,33.42,51.61
1,7,4,45,16.46,33.52,51.47
1,7,5,0,16.48,32.82,50.98
1,7,5,15,16.52,33.03,51.25
1,7,5,30,17.01,33.07,51.34
1,7,5,45,19.59,33.16,51.22
1,7,6,0,19.53,32.99,51.16
1,7,6,15,20.11,32.92,51.01
1,7,6,30,20.23,32.73,50.71
1,7,6,45,20.1,32.84,50.88
1,7,7,0,20.56,32.67,50.62
1,7,7,15,20.73,31.97,50.01
1,7,7,30,20.59,31.3,49.44
1,7,7,45,20.22,31.31,49.16
1,7,8,0,21.32,31.21,49.17
1,7,8,15,21.7,31.01,48.99
1,7,8,30,21.63,30.8,48.51
1,7,8,45,21.65,30.85,48.68
1,7,9,0,21.66,30.59,48.33
1,7,9,15,21.61,30.47,48.32
1,7,9,30,21.76,30.23,48.01
1,7,9,45,21.69,30.28,48.29
1,7,10,0,21.68,30.01,47.84
1,7,10,15,21.67,30.27,47.93
1,7,10,30,21.75,30.45,48.22
1,7,10,45,22.03,30.44,48.22
1,7,11,0,22.16,30.2,48.14
1,7,11,15,22.17,30.64,48.22
1,7,11,30,22.24,30.13,47.78
1,7,11,45,21.54,30.34,47.97
1,7,12,0,21.18,30.46,48.22
1,7,12,15,21.14,30.95,48.96
1,7,12,30,21.1,30.83,48.82
1,7,12,45,21.16,31.07,49.12
1,7,13,0,20.9,30.89,48.9
1,7,13,15,21.03,31.01,48.8
1,7,13,30,21.44,31.05,48.95
1,7,13,45,20.74,30.77,48.69
1,7,14,0,20.65,30.87,48.82
1,7,14,15,20.48,30.72,48.74
1,7,14,30,20.76,30.82,48.8
1,7,14,45,20.84,30.97,48.86
1,7,15,0,20.68,31.1,49.11
1,7,15,15,20.33,30.87,48.96
1,7,15,30,20.66,30.86,48.96
1,7,15,45,20.71,31.29,49.99
1,7,16,0,20.68,31.35,50.61
1,7,16,15,20.65,30.97,50.4
1,7,16,30,20.67,31.4,50.65
1,7,16,45,20.73,31.36,50.52
1,7,17,0,20.59,31.37,50.59
1,7,17,15,20.64,31.48,50.69
1,7,17,30,20.73,31.39,50.64
1,7,17,45,20.73,31.52,50.68
1,7,18,0,20.69,31.39,50.52
1,7,18,15,20.76,31.49,50.66
1,7,18,30,20.46,31.65,51.14
1,7,18,45,20.78,31.48,51.01
1,7,19,0,20.46,31.41,51.16
1,7,19,15,20.66,31.67,51.2
1,7,19,30,20.73,31.44,51.07
1,7,19,45,20.52,31.45,51.22
1,7,20,0,20.54,31.37,51.07
1,7,20,15,20.85,31.38,51.12
1,7,20,30,20.35,31.53,51.06
1,7,20,45,20.82,31.33,50.98
1,7,21,0,20.59,31.49,51.08
1,7,21,15,20.6,31.8,51.13
1,7,21,30,20.85,31.58,51.04
1,7,21,45,20.71,31.66,50.99
1,7,22,0,20.84,31.95,51.44
1,7,22,15,20.66,32.24,52.22
1,7,22,30,20.51,32.34,52.38
1,7,22,45,19.93,32.32,52.32
1,7,23,0,16.56,32.59,52.51
1,7,23,15,16.58,32.6,52.65
1,7,23,30,16.54,32.78,52.78
1,7,23,45,16.57,33,52.89
1,8,0,0,16.46,33.16,52.95
1,8,0,15,16.54,33.53,53.29
1,8,0,30,16.59,33.15,53.1
1,8,0,45,16.52,33.61,53.55
1,8,1,0,16.56,33.92,53.76
1,8,1,15,16.71,34.19,53.79
1,8,1,30,16.58,34.23,54.06
1,8,1,45,16.55,34.31,54.07
1,8,2,0,16.6,34.23,53.93
1,8,2,15,16.59,34.17,53.8
1,8,2,30,16.43,34.51,54.19
1,8,2,45,16.9,34.5,54.24
1,8,3,0,16.64,34.48,54.14
1,8,3,15,17.03,34.5,54.27
1,8,3,30,17.24,34.39,54.26
1,8,3,45,17.09,34.56,54.34
1,8,4,0,16.71,34.58,54.27
1,8,4,15,16.61,34.6,54.15
1,8,4,30,16.56,33.37,51.89
1,8,4,45,16.7,33.57,52.01
1,8,5,0,16.6,33.69,52.22
1,8,5,15,16.54,33.6,52.02
