id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
133,end_device_ids.device_id,0.5714285714285714,0,0.259765625,0.39,0.36,0.38,0.37,0.37,0.37,0.36,0.39,0.37,0.37,0.37,0.36,0.38,0.38,0.37,0.37,0.37,0.37,0.37,0.36,0.37,0.37,0.37,0.37,0.37,9.28,0.37,false
134,end_device_ids.device_id,0.6428571428571429,0,0.26171875,0.41,0.41,0.42,0.41,0.41,0.43,0.41,0.42,0.43,0.41,0.41,0.41,0.41,0.42,0.42,0.41,0.41,0.41,0.42,0.41,0.42,0.41,0.41,0.44,0.44,10.41,0.42,false
135,end_device_ids.device_id,0.7142857142857143,0,0.263671875,0.39,0.39,0.38,0.39,0.39,0.39,0.40,0.40,0.39,0.39,0.40,0.38,0.40,0.39,0.38,0.39,0.39,0.40,0.40,0.39,0.39,0.39,0.38,0.39,0.40,9.78,0.39,false
136,end_device_ids.device_id,0.7857142857142857,0,0.265625,0.40,0.40,0.41,0.41,0.40,0.41,0.40,0.41,0.41,0.40,0.40,0.39,0.41,0.41,0.41,0.40,0.41,0.41,0.40,0.41,0.42,0.41,0.42,0.41,0.41,10.17,0.41,false
137,end_device_ids.device_id,0.14285714285714285,0,0.267578125,0.44,0.46,0.45,0.47,0.44,0.46,0.47,0.46,0.46,0.43,0.48,0.48,0.45,0.47,0.48,0.47,0.46,0.46,0.47,0.47,0.45,0.48,0.46,0.46,0.46,11.54,0.46,false
138,end_device_ids.device_id,0.21428571428571427,0,0.26953125,0.48,0.46,0.48,0.48,0.47,0.47,0.47,0.48,0.48,0.48,0.47,0.47,0.48,0.47,0.46,0.47,0.45,0.46,0.45,0.47,0.45,0.48,0.46,0.48,0.48,11.75,0.47,false
139,end_device_ids.device_id,0.8571428571428571,0,0.271484375,0.43,0.42,0.42,0.42,0.42,0.43,0.42,0.42,0.44,0.41,0.43,0.40,0.43,0.43,0.41,0.42,0.42,0.42,0.43,0.43,0.41,0.43,0.42,0.42,0.42,10.55,0.42,false
140,end_device_ids.device_id,0.9285714285714286,0,0.2734375,0.39,0.37,0.37,0.38,0.37,0.38,0.37,0.38,0.37,0.37,0.37,0.36,0.39,0.39,0.38,0.37,0.38,0.37,0.37,0.38,0.38,0.38,0.39,0.38,0.37,9.41,0.38,false
141,end_device_ids.device_id,1,0,0.275390625,0.51,0.50,0.51,0.51,0.50,0.49,0.50,0.50,0.51,0.52,0.52,0.49,0.51,0.52,0.51,0.50,0.51,0.52,0.51,0.51,0.51,0.50,0.51,0.50,0.50,12.67,0.51,false
142,end_device_ids.device_id,0.42857142857142855,0,0.27734375,0.48,0.49,0.47,0.47,0.46,0.49,0.50,0.49,0.50,0.48,0.49,0.49,0.50,0.50,0.50,0.51,0.51,0.46,0.52,0.49,0.48,0.51,0.49,0.50,0.48,12.26,0.49,false
