month_day_hour_min,i_uiip,i_f,i_uiipu,truth
791,127.57,247.2,193.2,0
792,132.93,246.8,182.27,0
793,141.22,253.07,154.67,0
794,119.45,251.6,140.73,0
795,133.56,250.07,130.8,0
796,124.04,252.47,133.67,0
797,137.26,252.6,132.4,0
798,169.46,253.53,133.4,0
799,167.32,255.53,120.13,0
800,206.33,255.47,47.93,0
801,225.58,247.93,3.47,0
802,241.42,252.87,3.53,0
803,239.94,258.4,3.33,0
804,265.58,262.2,3.33,0
805,256.54,263.93,3.53,0
806,261.46,264.93,3.2,0
807,256.78,264.47,3.53,0
808,252.84,266.73,3.4,0
809,254.54,267.47,3.4,0
810,249.67,260.13,3.2,0
811,269.77,258.07,3.33,0
812,274.22,258.2,3.47,0
813,238.76,260,3.53,0
814,244.66,262.6,3.4,0
815,239.99,241.53,3.4,0
816,235.34,245.2,3.33,0
817,250.92,248.93,3.6,0
818,232.87,248.53,3.53,0
819,222.28,259.13,18.33,0
820,239.41,259.4,114,0
821,228.55,256.73,110.73,0
822,206.89,259.8,111.27,0
823,212.67,268.27,104.93,0
824,211.03,272.27,82.73,0
825,216.53,269.87,73.13,0
826,200.78,266.93,70.67,0
827,197.93,266.67,67.27,0
828,203.78,266.2,93.8,0
829,198.6,262.4,159.13,0
830,173.66,266.67,188.07,0
831,182.09,273.6,189.4,0
832,171.27,272.2,187.53,0
833,184.8,274.93,187.6,0
834,170.05,270.93,277.47,0
835,184.38,270.73,307.87,0
836,186.76,264.73,311.2,0
837,177.51,262.2,310.73,0
838,169.93,256.27,318.87,0
839,187.12,254.87,342.47,0
840,173.79,255.33,348.6,0
841,173.59,257.13,363.73,0
842,191.85,254.8,381.07,0
843,184.97,252.47,379.13,0
844,175.58,256.73,379.6,0
845,183.25,255,379.27,0
846,175.6,248.13,353,0
847,178.8,254.73,354.53,0
848,177.93,256.2,352.87,0
849,185.48,254,351.27,0
850,172.87,254.6,352.47,0
851,176.16,254.8,352.8,0
852,179.42,254.87,351.73,0
853,182.35,249.53,348.33,0
854,173.54,253,347.87,0
855,163.22,246.93,346.8,0
856,187.25,246.13,348.13,0
857,184.73,245.07,342.8,0
858,175.94,244.8,344.4,0
859,179.24,266.53,341.93,0
860,159.07,259.73,372.13,0
861,178.68,264.53,369.47,0
862,160.46,255.6,366.73,0
863,158.14,253,366.2,0
864,167.85,255.87,366.07,0
865,208.26,257.8,363.47,0
866,203.29,254.13,365.33,0
867,185.97,245.87,360.8,0
868,200.4,255.2,367.6,0
869,174.93,251.4,362.87,0
870,162.32,250.07,361.27,0
871,163.03,250.47,364.53,0
872,163.46,255.33,363.33,0
873,159.62,256.73,362.47,0
874,170.22,252.47,360.67,0
875,172.81,251.73,360.2,0
876,187.56,254.53,361.47,0
877,180.55,250.8,359.8,0
878,158.86,251.67,359,0
879,159.13,252.2,357.07,0
