id,valueYName,valueY,valueXName,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
433,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.845703125,0.49,0.50,0.52,0.52,0.52,0.52,0.51,0.51,0.53,0.51,0.52,0.53,0.51,0.51,0.52,0.53,0.52,0.50,0.53,0.53,0.52,0.53,0.52,0.50,0.52,12.92,0.52,false
434,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.84765625,0.48,0.48,0.47,0.49,0.48,0.48,0.47,0.48,0.49,0.48,0.48,0.49,0.49,0.48,0.48,0.49,0.47,0.49,0.48,0.49,0.49,0.48,0.49,0.49,0.48,12.07,0.48,false
435,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.849609375,0.54,0.56,0.55,0.53,0.55,0.54,0.54,0.56,0.56,0.55,0.57,0.53,0.54,0.56,0.56,0.54,0.54,0.55,0.54,0.54,0.56,0.54,0.55,0.54,0.54,13.68,0.55,false
436,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.8515625,0.53,0.53,0.51,0.53,0.52,0.52,0.51,0.54,0.53,0.52,0.52,0.52,0.51,0.52,0.54,0.52,0.53,0.52,0.53,0.52,0.54,0.51,0.53,0.51,0.50,13.06,0.52,false
437,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.853515625,0.42,0.44,0.43,0.43,0.42,0.44,0.44,0.43,0.43,0.43,0.44,0.43,0.44,0.43,0.44,0.44,0.43,0.44,0.43,0.43,0.45,0.43,0.44,0.43,0.43,10.84,0.43,false
438,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.85546875,0.46,0.48,0.47,0.47,0.46,0.47,0.47,0.46,0.47,0.46,0.49,0.44,0.46,0.46,0.46,0.47,0.46,0.46,0.47,0.46,0.47,0.46,0.46,0.46,0.46,11.61,0.46,false
439,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.857421875,0.42,0.44,0.43,0.43,0.43,0.44,0.44,0.43,0.43,0.43,0.44,0.43,0.44,0.43,0.43,0.44,0.44,0.44,0.44,0.43,0.45,0.43,0.44,0.43,0.44,10.87,0.43,false
440,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.859375,0.50,0.50,0.50,0.50,0.50,0.51,0.49,0.50,0.51,0.49,0.51,0.52,0.51,0.51,0.51,0.51,0.49,0.51,0.50,0.51,0.52,0.49,0.51,0.50,0.50,12.60,0.50,false
441,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.861328125,0.49,0.50,0.50,0.50,0.51,0.52,0.50,0.50,0.51,0.49,0.51,0.51,0.51,0.51,0.51,0.51,0.49,0.51,0.50,0.51,0.51,0.49,0.51,0.50,0.50,12.60,0.50,false
442,uplink_message.settings.data_rate.lora.bandwidth,125000,received_at,0.86328125,0.49,0.51,0.49,0.51,0.48,0.49,0.51,0.50,0.50,0.48,0.50,0.49,0.48,0.49,0.51,0.49,0.49,0.49,0.49,0.49,0.51,0.49,0.49,0.49,0.49,12.35,0.49,false
