id,valueY,valueX,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
60,0.4,0.01670378619153675,0.46,0.46,0.48,0.46,0.45,0.46,0.47,0.46,0.46,0.46,0.46,0.47,0.47,0.47,0.48,0.47,0.46,0.45,0.46,0.47,0.46,0.46,0.47,0.47,0.46,11.60,0.46,false
61,0.4666666666666667,0.01698218262806236,0.51,0.49,0.51,0.50,0.48,0.51,0.49,0.52,0.49,0.51,0.52,0.50,0.50,0.49,0.49,0.51,0.48,0.50,0.51,0.51,0.51,0.50,0.51,0.50,0.51,12.55,0.50,false
62,0.5333333333333333,0.017260579064587972,0.43,0.42,0.42,0.43,0.43,0.43,0.42,0.42,0.42,0.42,0.43,0.42,0.44,0.41,0.42,0.42,0.41,0.42,0.42,0.43,0.43,0.43,0.42,0.43,0.42,10.59,0.42,false
63,0.9333333333333333,0.017538975501113586,0.45,0.44,0.44,0.44,0.44,0.45,0.46,0.45,0.44,0.44,0.45,0.45,0.46,0.44,0.45,0.44,0.44,0.45,0.46,0.46,0.46,0.45,0.45,0.45,0.45,11.21,0.45,false
64,0.6666666666666666,0.017817371937639197,0.44,0.44,0.45,0.46,0.44,0.45,0.46,0.44,0.44,0.45,0.45,0.44,0.46,0.43,0.44,0.44,0.45,0.45,0.46,0.45,0.46,0.45,0.44,0.46,0.44,11.19,0.45,false
65,0.7333333333333333,0.018095768374164812,0.46,0.45,0.46,0.45,0.45,0.45,0.46,0.46,0.44,0.46,0.46,0.44,0.45,0.45,0.45,0.45,0.45,0.44,0.44,0.45,0.46,0.46,0.45,0.46,0.44,11.29,0.45,false
66,0.13333333333333333,0.018374164810690423,0.47,0.46,0.46,0.45,0.45,0.45,0.49,0.45,0.45,0.46,0.45,0.46,0.47,0.45,0.47,0.46,0.45,0.45,0.46,0.45,0.46,0.47,0.47,0.46,0.46,11.48,0.46,false
67,0.2,0.018652561247216037,0.44,0.42,0.43,0.43,0.42,0.43,0.44,0.43,0.44,0.44,0.43,0.44,0.44,0.44,0.45,0.44,0.43,0.42,0.43,0.43,0.44,0.43,0.44,0.43,0.44,10.85,0.43,false
68,0.8,0.01893095768374165,0.44,0.43,0.45,0.43,0.43,0.43,0.44,0.43,0.42,0.43,0.44,0.44,0.44,0.43,0.43,0.43,0.42,0.44,0.43,0.44,0.44,0.44,0.43,0.42,0.43,10.83,0.43,false
69,0.8666666666666667,0.01920935412026726,0.44,0.43,0.44,0.42,0.43,0.43,0.44,0.44,0.43,0.43,0.44,0.43,0.43,0.43,0.43,0.42,0.42,0.43,0.43,0.44,0.43,0.44,0.43,0.43,0.43,10.79,0.43,false
70,0.9333333333333333,0.019487750556792874,0.46,0.45,0.46,0.45,0.44,0.44,0.45,0.45,0.45,0.45,0.45,0.46,0.46,0.44,0.45,0.44,0.44,0.44,0.46,0.45,0.45,0.45,0.44,0.44,0.46,11.23,0.45,false
71,0.4,0.019766146993318485,0.47,0.45,0.46,0.46,0.46,0.46,0.45,0.46,0.45,0.46,0.45,0.47,0.45,0.46,0.45,0.46,0.44,0.45,0.46,0.45,0.45,0.46,0.46,0.45,0.46,11.40,0.46,false
72,0,0.0200445434298441,0.51,0.50,0.50,0.49,0.49,0.48,0.50,0.50,0.49,0.50,0.49,0.49,0.49,0.50,0.51,0.51,0.50,0.51,0.50,0.50,0.50,0.50,0.50,0.49,0.48,12.43,0.50,false
73,0.06666666666666667,0.02032293986636971,0.48,0.47,0.47,0.46,0.44,0.46,0.48,0.46,0.45,0.45,0.46,0.46,0.45,0.45,0.48,0.48,0.45,0.45,0.47,0.46,0.46,0.47,0.47,0.47,0.45,11.55,0.46,false
74,0.13333333333333333,0.02060133630289532,0.46,0.43,0.45,0.46,0.45,0.44,0.44,0.47,0.44,0.45,0.45,0.45,0.44,0.44,0.46,0.44,0.43,0.44,0.44,0.45,0.46,0.44,0.47,0.43,0.45,11.18,0.45,false
75,0.2,0.020879732739420936,0.45,0.44,0.45,0.46,0.44,0.44,0.45,0.45,0.45,0.45,0.45,0.45,0.44,0.44,0.45,0.44,0.43,0.44,0.44,0.44,0.45,0.44,0.45,0.44,0.44,11.12,0.44,false
76,0.26666666666666666,0.021158129175946547,0.45,0.42,0.43,0.43,0.44,0.43,0.43,0.43,0.43,0.43,0.42,0.44,0.44,0.44,0.44,0.45,0.43,0.44,0.44,0.46,0.45,0.43,0.45,0.43,0.44,10.92,0.44,false
77,0.3333333333333333,0.02143652561247216,0.48,0.48,0.49,0.48,0.49,0.49,0.47,0.48,0.48,0.46,0.48,0.49,0.48,0.48,0.49,0.48,0.47,0.49,0.48,0.50,0.48,0.46,0.48,0.48,0.48,12.02,0.48,false
78,0.4666666666666667,0.021714922048997772,0.42,0.43,0.42,0.43,0.44,0.43,0.43,0.42,0.42,0.42,0.43,0.43,0.44,0.43,0.42,0.42,0.43,0.44,0.44,0.44,0.43,0.43,0.43,0.43,0.43,10.73,0.43,false
79,0.5333333333333333,0.021993318485523387,0.42,0.42,0.41,0.42,0.41,0.41,0.41,0.41,0.41,0.41,0.42,0.42,0.42,0.41,0.40,0.41,0.41,0.42,0.41,0.41,0.42,0.43,0.41,0.42,0.41,10.35,0.41,false
80,0.9333333333333333,0.022271714922048998,0.44,0.43,0.43,0.44,0.44,0.44,0.44,0.43,0.42,0.42,0.44,0.44,0.44,0.43,0.43,0.43,0.43,0.44,0.43,0.43,0.43,0.44,0.44,0.44,0.45,10.87,0.43,false
81,0.6666666666666666,0.02255011135857461,0.45,0.44,0.45,0.46,0.45,0.44,0.45,0.44,0.44,0.43,0.44,0.45,0.44,0.44,0.44,0.44,0.44,0.45,0.43,0.45,0.44,0.45,0.44,0.44,0.44,11.08,0.44,false
82,0.7333333333333333,0.022828507795100223,0.44,0.43,0.43,0.43,0.41,0.43,0.42,0.42,0.42,0.42,0.43,0.44,0.42,0.42,0.41,0.42,0.41,0.43,0.43,0.43,0.42,0.44,0.43,0.41,0.43,10.62,0.42,false
83,0.13333333333333333,0.023106904231625834,0.46,0.45,0.46,0.46,0.45,0.44,0.47,0.45,0.46,0.46,0.44,0.45,0.45,0.44,0.46,0.45,0.44,0.45,0.46,0.45,0.46,0.46,0.47,0.45,0.45,11.34,0.45,false
84,0.2,0.02338530066815145,0.45,0.43,0.44,0.44,0.43,0.42,0.44,0.44,0.44,0.43,0.43,0.44,0.43,0.44,0.44,0.44,0.43,0.43,0.44,0.44,0.44,0.43,0.44,0.42,0.44,10.89,0.44,false
85,0.8,0.02366369710467706,0.47,0.47,0.48,0.46,0.45,0.46,0.45,0.46,0.48,0.46,0.46,0.48,0.44,0.45,0.46,0.47,0.46,0.47,0.45,0.47,0.47,0.46,0.45,0.46,0.45,11.54,0.46,false
86,0.8666666666666667,0.023942093541202674,0.45,0.45,0.45,0.44,0.44,0.44,0.45,0.44,0.45,0.43,0.45,0.45,0.43,0.43,0.44,0.43,0.44,0.45,0.45,0.45,0.44,0.45,0.43,0.44,0.45,11.07,0.44,false
87,0.9333333333333333,0.024220489977728285,0.46,0.47,0.47,0.46,0.46,0.47,0.46,0.45,0.47,0.45,0.46,0.46,0.46,0.44,0.46,0.44,0.45,0.46,0.46,0.46,0.44,0.46,0.45,0.46,0.48,11.46,0.46,false
