id,value_y,value_x,score_1,score_2,score_3,score_4,score_5,score_6,score_7,score_8,score_9,score_10,score_11,score_12,score_13,score_14,score_15,score_16,score_17,score_18,score_19,score_20,score_21,score_22,score_23,score_24,score_25,scores_total,score,anomaly
71,0.5,0.14228456913827656,0.45,0.45,0.46,0.44,0.45,0.46,0.47,0.46,0.45,0.48,0.44,0.45,0.45,0.46,0.45,0.46,0.45,0.46,0.45,0.45,0.46,0.46,0.45,0.46,0.45,11.37,0.45,false
72,0.25,0.14428857715430862,0.50,0.50,0.50,0.51,0.52,0.49,0.53,0.50,0.50,0.51,0.51,0.52,0.51,0.50,0.52,0.51,0.48,0.50,0.50,0.49,0.50,0.51,0.52,0.49,0.50,12.62,0.50,false
73,0.25,0.1462925851703407,0.43,0.43,0.42,0.45,0.44,0.44,0.43,0.43,0.44,0.44,0.43,0.46,0.42,0.45,0.43,0.43,0.45,0.44,0.46,0.42,0.44,0.44,0.43,0.44,0.44,10.93,0.44,false
74,0.5,0.14829659318637275,0.46,0.47,0.47,0.48,0.48,0.47,0.49,0.48,0.46,0.48,0.47,0.48,0.47,0.48,0.48,0.47,0.46,0.49,0.48,0.47,0.46,0.48,0.46,0.46,0.46,11.81,0.47,false
75,0.25,0.15030060120240482,0.47,0.46,0.45,0.45,0.46,0.46,0.47,0.45,0.44,0.46,0.46,0.47,0.45,0.46,0.46,0.46,0.45,0.46,0.47,0.46,0.47,0.46,0.45,0.47,0.47,11.49,0.46,false
76,0.5,0.1523046092184369,0.38,0.39,0.39,0.38,0.39,0.39,0.38,0.38,0.39,0.39,0.39,0.38,0.38,0.39,0.38,0.39,0.40,0.40,0.38,0.38,0.38,0.40,0.39,0.40,0.37,9.67,0.39,false
77,0.5,0.15430861723446893,0.38,0.40,0.39,0.38,0.38,0.40,0.38,0.38,0.39,0.39,0.39,0.37,0.39,0.39,0.38,0.39,0.39,0.40,0.38,0.39,0.40,0.40,0.39,0.39,0.39,9.71,0.39,false
78,0,0.156312625250501,0.48,0.47,0.49,0.47,0.49,0.46,0.48,0.47,0.46,0.48,0.46,0.50,0.47,0.48,0.47,0.47,0.46,0.47,0.49,0.46,0.47,0.48,0.47,0.47,0.48,11.85,0.47,false
79,0,0.15831663326653306,0.38,0.38,0.39,0.37,0.38,0.38,0.38,0.37,0.38,0.38,0.39,0.38,0.37,0.39,0.39,0.39,0.37,0.39,0.38,0.38,0.39,0.39,0.37,0.38,0.37,9.52,0.38,false
80,0,0.16032064128256512,0.38,0.37,0.38,0.38,0.38,0.38,0.39,0.38,0.38,0.39,0.39,0.39,0.38,0.39,0.38,0.38,0.38,0.40,0.38,0.37,0.40,0.39,0.37,0.38,0.37,9.56,0.38,false
81,0,0.1623246492985972,0.48,0.48,0.47,0.48,0.48,0.52,0.47,0.51,0.48,0.48,0.47,0.50,0.46,0.49,0.49,0.47,0.50,0.50,0.51,0.48,0.49,0.47,0.45,0.49,0.49,12.11,0.48,false
82,0.5,0.16432865731462926,0.44,0.45,0.45,0.46,0.45,0.44,0.46,0.47,0.46,0.44,0.43,0.45,0.46,0.45,0.45,0.46,0.46,0.44,0.46,0.44,0.45,0.45,0.44,0.44,0.44,11.24,0.45,false
83,0,0.16633266533066132,0.46,0.45,0.45,0.46,0.47,0.46,0.47,0.45,0.44,0.47,0.46,0.45,0.47,0.46,0.46,0.46,0.46,0.46,0.47,0.46,0.45,0.45,0.46,0.47,0.46,11.48,0.46,false
84,0.5,0.1683366733466934,0.40,0.40,0.41,0.39,0.39,0.40,0.39,0.39,0.38,0.40,0.40,0.41,0.40,0.40,0.39,0.39,0.38,0.39,0.38,0.39,0.41,0.40,0.39,0.40,0.37,9.85,0.39,false
85,0.5,0.17034068136272545,0.41,0.43,0.43,0.42,0.44,0.42,0.42,0.44,0.43,0.42,0.42,0.43,0.43,0.44,0.43,0.43,0.43,0.42,0.44,0.42,0.44,0.43,0.42,0.42,0.42,10.68,0.43,false
86,0,0.17234468937875752,0.37,0.37,0.37,0.37,0.36,0.38,0.36,0.36,0.37,0.36,0.37,0.37,0.36,0.37,0.36,0.37,0.36,0.37,0.37,0.36,0.37,0.37,0.36,0.37,0.36,9.16,0.37,false
87,0,0.1743486973947896,0.47,0.45,0.46,0.47,0.47,0.46,0.47,0.47,0.46,0.49,0.47,0.47,0.48,0.47,0.47,0.46,0.46,0.47,0.46,0.47,0.47,0.47,0.48,0.46,0.47,11.70,0.47,false
88,0.5,0.17635270541082165,0.45,0.45,0.47,0.45,0.44,0.46,0.45,0.46,0.45,0.44,0.44,0.47,0.45,0.46,0.46,0.46,0.44,0.44,0.46,0.44,0.45,0.44,0.44,0.44,0.45,11.26,0.45,false
89,0,0.17835671342685372,0.52,0.48,0.52,0.51,0.51,0.49,0.51,0.50,0.49,0.52,0.51,0.51,0.51,0.52,0.52,0.51,0.49,0.50,0.48,0.48,0.50,0.50,0.52,0.51,0.50,12.61,0.50,false
90,0.25,0.18036072144288579,0.44,0.45,0.45,0.44,0.45,0.45,0.44,0.46,0.45,0.45,0.44,0.46,0.44,0.46,0.45,0.43,0.45,0.44,0.46,0.44,0.46,0.45,0.43,0.43,0.45,11.17,0.45,false
91,0.5,0.18236472945891782,0.45,0.44,0.45,0.45,0.44,0.45,0.46,0.45,0.43,0.46,0.45,0.45,0.44,0.45,0.44,0.45,0.45,0.45,0.45,0.43,0.44,0.45,0.45,0.44,0.44,11.16,0.45,false
92,0.25,0.1843687374749499,0.39,0.38,0.38,0.39,0.39,0.40,0.39,0.38,0.38,0.39,0.40,0.40,0.38,0.40,0.38,0.38,0.39,0.40,0.40,0.38,0.39,0.39,0.39,0.38,0.38,9.71,0.39,false
93,0,0.18637274549098196,0.40,0.38,0.39,0.38,0.38,0.39,0.38,0.37,0.38,0.38,0.39,0.39,0.38,0.39,0.38,0.39,0.38,0.38,0.38,0.38,0.38,0.39,0.37,0.40,0.38,9.59,0.38,false
94,0.5,0.18837675350701402,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.38,0.37,0.39,0.39,0.37,0.39,0.38,0.38,0.38,0.39,0.36,0.37,0.39,0.38,0.37,0.39,0.37,9.49,0.38,false
95,0.5,0.1903807615230461,0.44,0.44,0.45,0.44,0.43,0.44,0.43,0.44,0.44,0.43,0.43,0.45,0.44,0.45,0.45,0.44,0.43,0.43,0.44,0.43,0.44,0.43,0.43,0.43,0.44,10.94,0.44,false
96,0.5,0.19238476953907815,0.48,0.48,0.47,0.49,0.49,0.48,0.49,0.49,0.47,0.50,0.48,0.49,0.49,0.50,0.49,0.49,0.49,0.48,0.48,0.45,0.48,0.49,0.47,0.48,0.47,12.07,0.48,false
97,0,0.19438877755511022,0.38,0.37,0.39,0.38,0.38,0.38,0.38,0.38,0.37,0.38,0.38,0.38,0.38,0.38,0.38,0.39,0.38,0.38,0.38,0.38,0.39,0.38,0.38,0.38,0.38,9.51,0.38,false
98,0.5,0.1963927855711423,0.37,0.38,0.37,0.37,0.37,0.38,0.37,0.38,0.37,0.37,0.38,0.37,0.37,0.39,0.37,0.37,0.37,0.39,0.36,0.36,0.37,0.37,0.37,0.38,0.36,9.31,0.37,false
99,0,0.19839679358717435,0.37,0.37,0.37,0.37,0.37,0.38,0.36,0.37,0.37,0.36,0.38,0.38,0.36,0.38,0.37,0.37,0.37,0.36,0.37,0.36,0.37,0.37,0.37,0.37,0.36,9.23,0.37,false
100,0,0.20040080160320642,0.38,0.37,0.38,0.38,0.37,0.38,0.37,0.38,0.38,0.37,0.39,0.39,0.38,0.39,0.38,0.38,0.38,0.37,0.37,0.37,0.38,0.38,0.39,0.39,0.37,9.47,0.38,false
101,0.5,0.20240480961923848,0.45,0.44,0.45,0.44,0.45,0.45,0.45,0.44,0.42,0.45,0.44,0.45,0.44,0.45,0.45,0.45,0.45,0.45,0.44,0.43,0.43,0.44,0.44,0.43,0.44,11.07,0.44,false
102,0.5,0.20440881763527055,0.43,0.42,0.42,0.42,0.41,0.42,0.41,0.40,0.41,0.41,0.42,0.42,0.41,0.41,0.41,0.41,0.40,0.42,0.41,0.42,0.41,0.41,0.40,0.41,0.40,10.31,0.41,false
103,0.5,0.20641282565130262,0.43,0.44,0.44,0.43,0.44,0.42,0.44,0.44,0.44,0.44,0.43,0.43,0.43,0.44,0.44,0.45,0.45,0.43,0.45,0.43,0.44,0.43,0.42,0.43,0.44,10.90,0.44,false
104,0,0.20841683366733466,0.37,0.36,0.38,0.37,0.37,0.37,0.37,0.37,0.36,0.37,0.38,0.38,0.37,0.38,0.37,0.37,0.37,0.37,0.37,0.36,0.37,0.37,0.37,0.37,0.36,9.25,0.37,false
105,0.5,0.21042084168336672,0.46,0.46,0.48,0.48,0.47,0.47,0.49,0.47,0.45,0.49,0.46,0.48,0.48,0.48,0.48,0.49,0.48,0.47,0.50,0.45,0.47,0.47,0.49,0.46,0.48,11.86,0.47,false
106,0.25,0.2124248496993988,0.46,0.47,0.46,0.44,0.45,0.45,0.45,0.45,0.43,0.45,0.45,0.48,0.43,0.48,0.46,0.44,0.44,0.46,0.45,0.44,0.47,0.45,0.45,0.45,0.46,11.32,0.45,false
