month,day,hour,min,p_uiip,p_f,p_pu
2,13,5,30,24.1,34.03,52.68
2,13,7,45,19.43,31.71,49.19
2,13,8,45,18.48,30.52,47.76
2,13,9,0,19.28,29.98,47.3
2,13,10,30,21.51,31.75,50.91
2,13,11,30,21.65,31.9,50.99
2,13,12,30,21.84,32.4,51.44
2,13,13,30,21.71,32.1,51.41
2,13,14,45,19.65,32.52,52.71
2,13,18,30,19.77,30.88,48.33
2,13,19,45,20.19,31.86,51.26
2,13,20,15,21.18,32.19,51.9
2,13,20,30,21.35,32.1,51.78
2,13,22,30,21.28,32.97,52.89
2,13,23,30,22.68,33.44,52.97
2,14,2,0,24.75,33.67,53.09
2,14,2,45,24.77,33.39,52.32
2,14,4,0,24.62,33.05,52.01
2,14,4,15,24.68,33.66,52.33
2,14,4,30,24.88,33.27,52.22
2,14,4,45,24.65,33.33,51.9
2,14,5,15,24.7,33.6,51.92
2,14,7,0,20.08,30.07,47.52
2,14,12,45,19.73,32.07,52.08
2,14,13,0,19.58,32.04,52.27
2,14,14,15,19.78,32.27,52.27
2,14,15,45,21.71,32.19,52.2
2,14,16,30,20.84,32.22,51.86
2,14,17,0,19.24,31.62,49.18
2,14,18,45,19.08,30.02,47.44
2,14,19,0,19.76,30.35,47.78
2,14,19,45,19.22,30.1,47.56
2,14,20,45,20.65,31.09,49.54
2,15,0,0,22.24,33.03,52.43
2,15,1,15,22.74,33.18,52.34
2,15,4,15,21.18,33.67,52.57
2,15,5,45,21.1,33.31,53.01
2,15,10,45,18.78,31.82,51.9
2,15,11,0,18.68,32.06,52
2,15,12,30,18.61,32.22,52.14
2,15,14,30,20.54,32.34,52.32
2,15,16,0,20.74,32.38,51.91
2,15,16,15,20.73,32.3,51.82
2,15,16,30,20.93,32.51,52.01
2,15,18,30,17.18,30.25,47.63
2,15,18,45,19.69,30.03,47.52
2,15,20,45,21.86,31.62,51.66
2,15,21,30,21.77,32.13,51.81
2,16,1,0,25.5,32.8,51.45
2,16,2,0,25.29,32.8,51.44
2,16,3,0,25.55,32.65,51.3
2,16,3,15,25.82,32.78,51.33
2,16,3,45,25.87,32.97,51.41
2,16,4,15,25.74,32.71,51.44
2,16,6,15,21.72,32.71,52.29
2,16,7,0,17.26,30.14,47.63
2,16,7,15,16.47,29.93,47.31
2,16,7,30,17.85,29.87,47.28
2,16,8,15,17.69,30.07,47.63
2,16,8,30,17.63,29.69,47.02
