month_day_hour_min,i_uiipu,c_pu_p,p_pu,truth
650,340.13,25.06,51.14,0
651,354.2,26.31,51.01,0
652,352.93,25,51.16,0
653,352.93,26.31,51.2,0
654,352.87,25.64,51.07,0
655,351.07,24.9,51.22,0
656,350.6,25.32,51.07,0
657,351.07,25.15,51.12,0
658,351.2,25,51.06,0
659,351.27,26.42,50.98,0
660,330.73,4.46,51.08,0
661,318.73,0.26,51.13,0
662,319.6,0.05,51.04,0
663,320.53,0,50.99,0
664,317.73,0,51.44,0
665,368.07,0,52.22,0
666,374.8,0,52.38,0
667,374.27,0,52.32,0
668,374.53,0,52.51,0
669,372.73,0,52.65,0
670,371.6,0,52.78,0
671,370.47,0,52.89,0
672,369.2,0,52.95,0
673,367.07,0,53.29,0
674,368.6,0,53.1,0
675,365.73,0,53.55,0
676,365,0,53.76,0
677,363.67,0,53.79,0
678,359.8,0,54.06,0
679,360,0,54.07,0
680,363.8,0,53.93,0
681,362.87,0,53.8,0
682,359.87,0,54.19,0
683,359.13,0,54.24,0
684,360.73,0,54.14,0
685,359.27,0,54.27,0
686,359.53,0,54.26,0
687,357.87,0,54.34,0
688,357.93,0,54.27,0
689,348.2,0,54.15,0
690,194.8,0,51.89,0
691,193.93,0,52.01,0
692,192.6,0,52.22,0
693,193.6,0,52.02,0
694,194.87,0,51.97,0
695,193.47,0,52.16,0
696,194.13,0,51.63,0
697,174,0,51.37,0
698,139.2,17.86,51.35,0
699,130.73,26.11,51.51,0
700,132.8,25,51.44,0
701,121.33,26.65,50.98,0
702,17.47,25.49,49.82,0
703,3.4,25.75,49.93,0
704,3.33,25.93,49.29,0
705,3.53,26.21,49.01,0
706,3.33,24.98,48.05,0
707,3.6,26.71,47.98,0
708,3.53,24.58,48.41,0
709,3.67,25.93,48.22,0
710,3.47,24.67,48.24,0
711,3.53,25.82,47.58,0
712,3.4,25.09,47.51,0
713,3.4,24.64,47.82,0
714,3.6,26.16,47.95,0
715,3.53,25.51,47.87,0
